,PC-1,PC-2,PC-3,PC-4,PC-5,PC-6,PC-7,PC-8,PC-9,PC-10,PC-11,PC-12,PC-13,PC-14,PC-15,PC-16
num_critic_for_reviews,0.016053009468594878,-0.2236097438648799,0.19675418163882338,0.38409683307900305,-0.7971965120353222,0.9201439352080493,-0.21839732830627487,-0.17455274830124126,-0.1565861454134776,0.1490329292328746,-0.05276930837731679,-0.16620623404420592,0.011844344524664548,0.030611192962503263,-0.002386376389165892,-6.865540073236282e-05
duration,-0.44971585466980996,0.2839123633162056,0.01352910575067598,0.6841888527277991,-0.3379989814228502,0.45716166696614446,0.717105004067166,-0.3422201363183517,0.0045737299581331435,-0.04808589166090376,0.030398974658148788,-0.1547248853846482,-0.008576551076424518,0.06320853691490909,-0.0041910996135782995,-0.0015284624654474971
director_facebook_likes,-0.30672030659780836,0.8145390030938922,0.8276579469961581,0.5171841101857957,-0.44827878076106836,0.48584488908117374,-0.2298011478515816,-0.07915064479765693,0.02508597243965826,0.010118702078247584,0.019070210862375335,-0.008800445987764038,0.009574555772197225,0.01007842702874402,0.005072450632272431,-0.0004263820721574646
actor_3_facebook_likes,-0.4414256194972759,0.09053471637564657,0.17837615775502905,0.937525126123298,0.25524923436331826,0.9205569291927927,-0.24176919430410473,0.1795434484372445,-0.007290824353618456,-0.1097815174208446,-0.2759782497875339,-0.06781364001826999,0.04254796731774945,0.003733452894450703,0.0030743199278490192,-0.03696127193417604
actor_1_facebook_likes,-0.5738014153647767,0.1767359164677416,0.1206278620755811,0.62705381223949,-0.403412557482388,0.5177010471105513,-0.17593767486180198,-0.014002830538661094,-0.030688401410875556,0.10056868211142173,0.3617853575899147,-0.00802011138702689,0.6324032205956434,0.05540939963263093,0.0055370413744372385,-0.6939837253137593
gross,-0.3130677586700442,0.08549470075303144,0.06940997243664851,1.109472646472793,-0.3980326949060349,0.07544336708344372,-0.49845035997828796,-0.6163457254816783,-0.02579312791896558,-0.031204243184619004,-0.002531690622897507,0.06506893561656964,0.006143490740120218,-0.007230188549693327,-0.016032866663727375,-0.005621620580673466
num_voted_users,-0.24155418057404876,0.2389930800390845,0.028798660616350474,0.8929029903565777,-0.5797476154636383,0.2729636795583335,-0.199879244387373,0.3905160600565464,0.37316518816901084,-0.0517379780065683,0.2067528567691598,-0.6720452209905484,-0.009781369906024314,-0.013429301431863836,0.011534284304075888,0.0009932703271532952
cast_total_facebook_likes,-0.554438090065724,0.16422075743701528,0.12767532698087558,0.6653252332219312,-0.3252764474792821,0.5595810797990798,-0.18165425853772407,0.00011968648540948652,-0.07171748589036343,0.1386552078075223,0.47991478053408027,0.014286808943253447,0.4978083874485089,0.047145673080611995,0.0038758734313321737,0.7039038968232381
facenumber_in_poster,-0.6187547742600334,0.16851287398637918,0.12026817444422791,0.6288371724127011,-0.37194455282238326,0.48710544620780577,-0.14383238307449808,-0.07035636343549205,0.5238378071275408,0.8337239082184673,-0.1440007273864616,0.06205510113045666,-0.004729605044489458,0.023466783987863036,0.011711612600979089,-0.0018617876584820809
num_user_for_reviews,-0.3132713366841005,0.17761589795575664,0.07108337941792217,0.8998281711649236,-0.7114321030157287,0.30442762596639605,0.02333898256288599,0.4978552868480799,-0.14408808763817463,0.04154621173554429,-0.10156644864385707,0.566925754417739,0.02386053762866547,0.03153151828511995,0.004057269176363392,-0.0006627605130331205
budget,-0.58783240320663,0.18090994836057386,0.11620868294627887,0.6139987778175173,-0.46409698259790594,0.4940864667924428,-0.18036123095769427,-0.03958133844704196,0.028459900885805738,-0.012382414196190133,0.0315989033286077,-0.03349624879794746,0.012948713829129876,-0.025620509063786125,1.003600204047054,0.0005184426324498023
title_year,-0.47960054771405847,-0.278198366533738,0.41522900591559997,0.15637481837238246,-0.09298717528811419,-0.05294186494955321,-0.11600887800237392,0.11596789167072552,0.048914622730716825,-0.061392378593013566,0.030522235865320234,-0.025715136410536864,-0.007809107527134333,0.05250813393572078,0.0016246065127581391,-0.0005578826941169047
actor_2_facebook_likes,-0.5444712216347425,0.15639074812324524,0.13227488397740214,0.6919249476729531,-0.27107837824671105,0.6130503249756725,-0.1933473690624872,0.022350212398999272,-0.14881606521831875,0.2002427994798403,0.7074122544235245,0.06998417638058922,-0.5964815552654172,-0.031762695421920575,0.0043799893905296094,-0.14720805381813337
imdb_score,-0.20354997820114196,0.6046376287114467,-0.4913932005044423,0.17096736749233143,-0.21273473646645708,0.41020948030864585,-0.35129726370006653,-0.022829836034812798,0.0051510767006823594,0.005399418430671649,0.0011223065622047662,0.06564469487211114,0.009898563728176105,-0.0006495412963201485,0.005924523074202807,0.00026925610478323374
aspect_ratio,-0.5785832565259472,0.1644194767266933,0.13248485429758,0.5836793947229458,-0.4548800422183357,0.4806326398449336,-0.11819335492169496,-0.02298642072018083,0.011242014235300007,0.022861944873518666,0.025506034271996096,-0.030119186169909048,0.08338062125639582,-0.9862442965994256,-0.028245626591874122,-0.0001629447891879556
movie_facebook_likes,-0.4012543359806818,0.07576035025850208,0.14877736488811463,0.5629795731620048,-0.4756190123429658,0.7056219615891852,-0.15313019923351515,-0.13316931251773348,0.7630877153661375,-0.413187461310214,0.2725146826185997,0.3585709524525883,0.018487376606337577,-0.025889609531501805,0.011645184914606733,-0.0011915469273905057
