,PC-1,PC-2,PC-3,PC-4,PC-5,PC-6,PC-7,PC-8,PC-9,PC-10,PC-11,PC-12,PC-13,PC-14,PC-15,PC-16,sque_sum_loadings
num_critic_for_reviews,0.016053009,-0.223609744,0.196754182,0.384096833,-0.797196512,0.920143935,-0.218397328,-0.174552748,-0.156586145,0.149032929,-0.052769308,-0.166206234,0.011844345,0.030611193,-0.002386376,-6.87E-05,1.875076977
duration,-0.449715855,0.283912363,0.013529106,0.684188853,-0.337998981,0.457161667,0.717105004,-0.342220136,0.00457373,-0.048085892,0.030398975,-0.154724885,-0.008576551,0.063208537,-0.0041911,-0.001528462,1.73702815
director_facebook_likes,-0.306720307,0.814539003,0.827657947,0.51718411,-0.448278781,0.485844889,-0.229801148,-0.079150645,0.025085972,0.010118702,0.019070211,-0.008800446,0.009574556,0.010078427,0.005072451,-0.000426382,2.207512702
actor_3_facebook_likes,-0.441425619,0.090534716,0.178376158,0.937525126,0.255249234,0.920556929,-0.241769194,0.179543448,-0.007290824,-0.109781517,-0.27597825,-0.06781364,0.042547967,0.003733453,0.00307432,-0.036961272,2.21315763
actor_1_facebook_likes,-0.573801415,0.176735916,0.120627862,0.627053812,-0.403412557,0.517701047,-0.175937675,-0.014002831,-0.030688401,0.100568682,0.361785358,-0.008020111,0.632403221,0.0554094,0.005537041,-0.693983725,2.256794333
gross,-0.313067759,0.085494701,0.069409972,1.109472646,-0.398032695,0.075443367,-0.49845036,-0.616345725,-0.025793128,-0.031204243,-0.002531691,0.065068936,0.006143491,-0.007230189,-0.016032867,-0.005621621,2.139782645
num_voted_users,-0.241554181,0.23899308,0.028798661,0.89290299,-0.579747615,0.27296368,-0.199879244,0.39051606,0.373165188,-0.051737978,0.206752857,-0.672045221,-0.00978137,-0.013429301,0.011534284,0.00099327,2.153372847
cast_total_facebook_likes,-0.55443809,0.164220757,0.127675327,0.665325233,-0.325276447,0.55958108,-0.181654259,0.000119686,-0.071717486,0.138655208,0.479914781,0.014286809,0.497808387,0.047145673,0.003875873,0.703903897,2.245685341
facenumber_in_poster,-0.618754774,0.168512874,0.120268174,0.628837172,-0.371944553,0.487105446,-0.143832383,-0.070356363,0.523837807,0.833723908,-0.144000727,0.062055101,-0.004729605,0.023466784,0.011711613,-0.001861788,2.217209257
num_user_for_reviews,-0.313271337,0.177615898,0.071083379,0.899828171,-0.711432103,0.304427626,0.023338983,0.497855287,-0.144088088,0.041546212,-0.101566449,0.566925754,0.023860538,0.031531518,0.004057269,-0.000662761,2.147434815
budget,-0.587832403,0.180909948,0.116208683,0.613998778,-0.464096983,0.494086467,-0.180361231,-0.039581338,0.028459901,-0.012382414,0.031598903,-0.033496249,0.012948714,-0.025620509,1.003600204,0.000518443,2.2735001
title_year,-0.479600548,-0.278198367,0.415229006,0.156374818,-0.092987175,-0.052941865,-0.116008878,0.115967892,0.048914623,-0.061392379,0.030522236,-0.025715136,-0.007809108,0.052508134,0.001624607,-0.000557883,0.553210872
actor_2_facebook_likes,-0.544471222,0.156390748,0.132274884,0.691924948,-0.271078378,0.613050325,-0.193347369,0.022350212,-0.148816065,0.200242799,0.707412254,0.069984176,-0.596481555,-0.031762695,0.004379989,-0.147208054,2.250422473
imdb_score,-0.203549978,0.604637629,-0.491393201,0.170967367,-0.212734736,0.41020948,-0.351297264,-0.022829836,0.005151077,0.005399418,0.001122307,0.065644695,0.009898564,-0.000649541,0.005924523,0.000269256,1.019674977
aspect_ratio,-0.578583257,0.164419477,0.132484854,0.583679395,-0.454880042,0.48063264,-0.118193355,-0.022986421,0.011242014,0.022861945,0.025506034,-0.030119186,0.083380621,-0.986244297,-0.028245627,-0.000162945,2.155082611
movie_facebook_likes,-0.401254336,0.07576035,0.148777365,0.562979573,-0.475619012,0.705621962,-0.153130199,-0.133169313,0.763087715,-0.413187461,0.272514683,0.358570952,0.018487377,-0.02588961,0.011645185,-0.001191547,2.228137303
,,,,,,,,,,,,,,,,,
actor_1_facebook_likes,,,,,,,,,,,,,,,,,
actor_2_facebook_likes,,,,,,,,,,,,,,,,,
cast_total_facebook_likes,,,,,,,,,,,,,,,,,
