id,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
1,723,178,0,855,1000,760505847,Avatar ,886204,4834,0,3054,237000000,2009,936,7.9,1.78,33000
2,302,169,563,1000,40000,309404152,Pirates of the Caribbean: At World's End ,471220,48350,0,1238,300000000,2007,5000,7.1,2.35,0
3,602,148,0,161,11000,200074175,Spectre ,275868,11700,1,994,245000000,2015,393,6.8,2.35,85000
4,813,164,22000,23000,27000,448130642,The Dark Knight Rises ,1144337,106759,0,2701,250000000,2012,23000,8.5,2.35,164000
5,462,132,475,530,640,73058679,John Carter ,212204,1873,1,738,263700000,2012,632,6.6,2.35,24000
6,392,156,0,4000,24000,336530303,Spider-Man 3 ,383056,46055,0,1902,258000000,2007,11000,6.2,2.35,0
7,324,100,15,284,799,200807262,Tangled ,294810,2036,1,387,260000000,2010,553,7.8,1.85,29000
8,635,141,0,19000,26000,458991599,Avengers: Age of Ultron ,462669,92000,4,1117,250000000,2015,21000,7.5,2.35,118000
9,375,153,282,10000,25000,301956980,Harry Potter and the Half-Blood Prince ,321795,58753,3,973,250000000,2009,11000,7.5,2.35,10000
10,673,183,0,2000,15000,330249062,Batman v Superman: Dawn of Justice ,371639,24450,0,3018,250000000,2016,4000,6.9,2.35,197000
11,434,169,0,903,18000,200069408,Superman Returns ,240396,29991,0,2367,209000000,2006,10000,6.1,2.35,0
12,403,106,395,393,451,168368427,Quantum of Solace ,330784,2023,1,1243,200000000,2008,412,6.7,2.35,0
13,313,151,563,1000,40000,423032628,Pirates of the Caribbean: Dead Man's Chest ,522040,48486,2,1832,225000000,2006,5000,7.3,2.35,5000
14,450,150,563,1000,40000,89289910,The Lone Ranger ,181792,45757,1,711,215000000,2013,2000,6.5,2.35,48000
15,733,143,0,748,15000,291021565,Man of Steel ,548573,20495,0,2536,225000000,2013,3000,7.2,2.35,118000
