movie_title,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Avatar ,0.889162562,0.501694915,0,0.037173913,0.0015625,1,0.524452895,0.007360711,0,0.603478948,0.019401562,0.927083333,0.006832117,0.818181818,0.04048583,0.094555874
Pirates of the Caribbean: At World's End ,0.370689655,0.471186441,0.024478261,0.043478261,0.0625,0.406839812,0.278865211,0.073622341,0,0.244514726,0.024558945,0.90625,0.03649635,0.714285714,0.078947368,0
Spectre ,0.740147783,0.4,0,0.007,0.0171875,0.263080233,0.163255825,0.017815541,0.023255814,0.196283851,0.020056468,0.989583333,0.002868613,0.675324675,0.078947368,0.243553009
The Dark Knight Rises ,1,0.454237288,0.956521739,1,0.0421875,0.589253294,0.6772161,0.162561479,0,0.533702313,0.020465784,0.958333333,0.167883212,0.896103896,0.078947368,0.46991404
John Carter ,0.56773399,0.345762712,0.020652174,0.023043478,0.001,0.096065708,0.125579447,0.002852009,0.023255814,0.145680965,0.02158731,0.958333333,0.004613139,0.649350649,0.078947368,0.068767908
Spider-Man 3 ,0.481527094,0.427118644,0,0.173913043,0.0375,0.442508383,0.226689723,0.070127754,0,0.375765962,0.02112069,0.90625,0.080291971,0.597402597,0.078947368,0
Tangled ,0.397783251,0.237288136,0.000652174,0.012347826,0.001248438,0.26404418,0.174465708,0.003100209,0.023255814,0.076299664,0.021284416,0.9375,0.004036496,0.805194805,0.045209177,0.083094556
Avengers: Age of Ultron ,0.780788177,0.376271186,0,0.826086957,0.040625,0.603534525,0.273804726,0.140088012,0.093023256,0.220596956,0.020465784,0.989583333,0.153284672,0.766233766,0.078947368,0.338108883
Harry Potter and the Half-Blood Prince ,0.460591133,0.416949153,0.01226087,0.434782609,0.0390625,0.397047417,0.190435441,0.089462945,0.069767442,0.192132833,0.020465784,0.927083333,0.080291971,0.766233766,0.078947368,0.028653295
Batman v Superman: Dawn of Justice ,0.827586207,0.518644068,0,0.086956522,0.0234375,0.434249088,0.219933138,0.037229912,0,0.596362918,0.020465784,1,0.02919708,0.688311688,0.078947368,0.564469914
Superman Returns ,0.533251232,0.471186441,0,0.03926087,0.028125,0.263073965,0.142263483,0.045667169,0,0.46768136,0.017109393,0.895833333,0.072992701,0.584415584,0.078947368,0
Quantum of Solace ,0.495073892,0.257627119,0.017173913,0.017086957,0.000704688,0.221389883,0.195755134,0.003080414,0.023255814,0.245503064,0.016372624,0.916666667,0.003007299,0.662337662,0.078947368,0
Pirates of the Caribbean: Dead Man's Chest ,0.384236453,0.410169492,0.024478261,0.043478261,0.0625,0.55625155,0.308940506,0.073829428,0.046511628,0.361929235,0.018419204,0.895833333,0.03649635,0.74025974,0.078947368,0.014326648
The Lone Ranger ,0.552955665,0.406779661,0.024478261,0.043478261,0.0625,0.11740839,0.107581614,0.069673991,0.023255814,0.140343941,0.017600572,0.96875,0.01459854,0.636363636,0.078947368,0.137535817
Man of Steel ,0.901477833,0.383050847,0,0.032521739,0.0234375,0.382668281,0.324642745,0.03120765,0,0.501087171,0.018419204,0.96875,0.02189781,0.727272727,0.078947368,0.338108883
The Chronicles of Narnia: Prince Caspian ,0.316502463,0.406779661,0.003478261,0.00873913,0.034375,0.186210128,0.088720936,0.034560626,0.093023256,0.086380708,0.018419204,0.916666667,0.001576642,0.649350649,0.078947368,0
The Avengers ,0.86453202,0.484745763,0,0.826086957,0.040625,0.81955914,0.589084005,0.133535852,0.069767442,0.340185807,0.018009888,0.958333333,0.153284672,0.844155844,0.045209177,0.35243553
Pirates of the Caribbean: On Stranger Tides ,0.550492611,0.359322034,0.010956522,0.043478261,0.0625,0.316978187,0.219379805,0.082351956,0.093023256,0.095473414,0.020465784,0.947916667,0.080291971,0.662337662,0.078947368,0.166189112
Men in Black 3 ,0.554187192,0.257627119,0.008173913,0.031217391,0.015625,0.235396915,0.158690677,0.019143331,0.023255814,0.067206958,0.018419204,0.958333333,0.005956204,0.675324675,0.045209177,0.114613181
The Hobbit: The Battle of the Five Armies ,0.518472906,0.454237288,0,0.033608696,0.0078125,0.335445498,0.209629302,0.013935712,0,0.158331686,0.020465784,0.979166667,0.007094891,0.766233766,0.078947368,0.186246418
The Amazing Spider-Man ,0.736453202,0.416949153,0.020173913,0.041869565,0.0234375,0.344547722,0.267374223,0.04338008,0,0.241945048,0.01882852,0.958333333,0.072992701,0.701298701,0.078947368,0.160458453
Robin Hood ,0.421182266,0.427118644,0,0.032086957,0.001392188,0.138354749,0.125319646,0.004939625,0,0.1077288,0.016372624,0.9375,0.006437956,0.662337662,0.078947368,0.048710602
The Hobbit: The Desolation of Smaug ,0.625615764,0.528813559,0,0.033608696,0.0078125,0.339715004,0.286156192,0.013935712,0.139534884,0.187784147,0.018419204,0.96875,0.007094891,0.818181818,0.078947368,0.23782235
The Golden Compass ,0.307881773,0.281355932,0.005608696,0.043478261,0.025,0.092153627,0.08818654,0.036706104,0.046511628,0.131448903,0.01473536,0.90625,0.04379562,0.584415584,0.078947368,0
King Kong ,0.548029557,0.579661017,0,0.003652174,0.009375,0.286718564,0.18701661,0.010846162,0,0.517295908,0.016945666,0.885416667,0.006708029,0.727272727,0.078947368,0
Titanic ,0.386699507,0.555932203,0,0.034521739,0.0453125,0.866097589,0.46932965,0.068860871,0,0.499505831,0.016372624,0.802083333,0.102189781,0.792207792,0.078947368,0.074498567
Captain America: Civil War ,0.634236453,0.396610169,0.004086957,0.47826087,0.0328125,0.535429423,0.161363248,0.098667641,0,0.201818541,0.020465784,1,0.138686131,0.857142857,0.078947368,0.206303725
Battleship ,0.463054187,0.342372881,0.023130435,0.02726087,0.021875,0.085696924,0.119766783,0.040624001,0,0.148250642,0.017109393,0.958333333,0.072992701,0.558441558,0.078947368,0.126074499
Jurassic World ,0.791871921,0.318644068,0.015869565,0.043478261,0.0046875,0.857557178,0.247496241,0.012878961,0,0.254793437,0.012279463,0.989583333,0.01459854,0.701298701,0.055330634,0.429799427
Skyfall ,0.922413793,0.383050847,0,0.017086957,0.001379688,0.400207547,0.308934588,0.003104777,0,0.295908282,0.016372624,0.958333333,0.004109489,0.805194805,0.078947368,0.229226361
Spider-Man 2 ,0.368226601,0.355932203,0,0.173913043,0.0375,0.490959816,0.243324048,0.066066725,0.023255814,0.257363115,0.016372624,0.875,0.080291971,0.74025974,0.078947368,0
Iron Man 3 ,0.747536946,0.559322034,0.043478261,0.130434783,0.0328125,0.537789681,0.329919237,0.046329542,0.069767442,0.234433683,0.016372624,0.96875,0.02919708,0.727272727,0.078947368,0.272206304
Alice in Wonderland ,0.554187192,0.26440678,0.565217391,0.47826087,0.0625,0.439424781,0.18127733,0.121750187,0,0.14528563,0.016372624,0.9375,0.182481752,0.636363636,0.045209177,0.068767908
X-Men: The Last Stand ,0.410098522,0.250847458,0.01826087,0.024347826,0.03125,0.308163182,0.226909281,0.033063816,0,0.377742637,0.017191256,0.895833333,0.00589781,0.675324675,0.078947368,0
Monsters University ,0.46182266,0.250847458,0.001608696,0.033043478,0.01875,0.353039001,0.139084923,0.022631827,0,0.052184226,0.016372624,0.96875,0.005686131,0.74025974,0.045209177,0.126074499
Transformers: Revenge of the Fallen ,0.449507389,0.406779661,0,0.020173913,0.001396875,0.528696281,0.191271063,0.004900035,0,0.284245898,0.016372624,0.927083333,0.004240876,0.571428571,0.078947368,0
Transformers: Age of Extinction ,0.464285714,0.457627119,0,0.035130435,0.001521875,0.322716818,0.143461286,0.006072511,0.046511628,0.181261119,0.017191256,0.979166667,0.006978102,0.532467532,0.078947368,0.160458453
Oz the Great and Powerful ,0.645320197,0.338983051,0,0.47826087,0.06875,0.308877262,0.103804152,0.111828301,0.093023256,0.100810437,0.017600572,0.96875,0.109489051,0.623376623,0.078947368,0.171919771
The Amazing Spider-Man 2 ,0.608374384,0.379661017,0.020173913,0.035869565,0.0234375,0.266735378,0.190099298,0.043596303,0,0.21071358,0.016372624,0.979166667,0.072992701,0.662337662,0.078947368,0.11747851
TRON: Legacy ,0.57635468,0.322033898,0.015826087,0.043478261,0.01875,0.226233187,0.156340638,0.038904877,0,0.131251235,0.013916728,0.9375,0.072992701,0.675324675,0.078947368,0.085959885
Cars 2 ,0.373152709,0.257627119,0.021173913,0.03373913,0.0015625,0.251741331,0.059874219,0.006824722,0,0.055742242,0.016372624,0.947916667,0.006708029,0.61038961,0.078947368,0.028653295
Green Lantern ,0.535714286,0.315254237,0.011217391,0.014173913,0.025,0.153309872,0.132201101,0.026886239,0.046511628,0.10851947,0.016372624,0.947916667,0.002686131,0.519480519,0.078947368,0.068767908
Toy Story 3 ,0.556650246,0.247457627,0.005434783,0.031347826,0.0234375,0.545668945,0.322459593,0.029060649,0.069767442,0.144692627,0.016372624,0.9375,0.00729927,0.87012987,0.045209177,0.085959885
Terminator Salvation ,0.518472906,0.298305085,0.016,0.042956522,0.0359375,0.164784884,0.169308168,0.041825408,0,0.1923305,0.016372624,0.927083333,0.02189781,0.649350649,0.078947368,0
Furious 7 ,0.520935961,0.372881356,0,0.608695652,0.040625,0.460264736,0.164654841,0.120521371,0,0.129669895,0.015553992,0.989583333,0.167883212,0.727272727,0.078947368,0.269340974
World War Z ,0.804187192,0.315254237,0.017173913,0.043478261,0.0265625,0.266074867,0.275195457,0.049323162,0,0.196481518,0.015553992,0.96875,0.080291971,0.701298701,0.078947368,0.369627507
X-Men: Days of Future Past ,0.662561576,0.403389831,0,0.869565217,0.053125,0.307578008,0.304256406,0.139226166,0.162790698,0.14844831,0.016372624,0.979166667,0.160583942,0.831168831,0.078947368,0.23495702
Star Trek Into Darkness ,0.725369458,0.345762712,0.608695652,0.040347826,0.0296875,0.300794688,0.234097288,0.032602439,0,0.231271002,0.015553992,0.96875,0.007160584,0.805194805,0.078947368,0.263610315
Jack the Giant Slayer ,0.415024631,0.284745763,0,0.006086957,0.001529688,0.085695215,0.062974069,0.002689081,0.023255814,0.040324175,0.015963308,0.96875,0.004065693,0.61038961,0.078947368,0.063037249
