movie_title,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Home Fries ,0.050492611,0.206779661,0.001,0.027347826,0.001445313,0.013731855,0.00423374,0.004435613,0.046511628,0.017197075,0.00122793,0.8125,0.004817518,0.441558442,0.045209177,0.000707736
Firewall ,0.209359606,0.254237288,0.000521739,0.040652174,0.1359375,0.064095495,0.029687666,0.154375466,0.023255814,0.060288595,0.004093143,0.895833333,0.080291971,0.545454545,0.078947368,0.0022149
Dick ,0.098522167,0.216949153,0.001130435,0.173913043,0.025,0.008207085,0.009500763,0.047211183,0.046511628,0.041312512,0.001064204,0.822916667,0.058394161,0.584415584,0.045209177,0
The Number 23 ,0.274630542,0.230508475,0.023521739,0.039,0.0125,0.046105599,0.097412116,0.016655246,0.023255814,0.075508994,0.002619605,0.90625,0.006656934,0.623376623,0.078947368,0.028653295
Underclassman ,0.036945813,0.220338983,0.001391304,0.014086957,0.001317188,0.007435336,0.002882068,0.003296636,0.069767442,0.004941688,0.002046562,0.885416667,0.004328467,0.324675325,0.078947368,0.000590258
Reservoir Dogs ,0.21182266,0.233898305,0.695652174,0.019782609,0.025,0.003697365,0.393377991,0.044149041,0,0.183830797,9.82E-05,0.75,0.087591241,0.883116883,0.078947368,0.054441261
Down to Earth ,0.073891626,0.193220339,0.005608696,0.024347826,0.001529688,0.084380814,0.011288,0.004432567,0.023255814,0.02391777,0.002455878,0.84375,0.00650365,0.493506494,0.045209177,0.001724928
The Muppet Christmas Carol ,0.091133005,0.2,0.002304348,0.003652174,0.000354688,0.035872638,0.020029483,0.00081312,0,0.028859458,0.000982341,0.75,0.000686131,0.792207792,0.045209177,0
Election ,0.214285714,0.247457627,0.031695652,0.005782609,0.003125,0.019565132,0.04357722,0.005353798,0,0.08697371,0.000654888,0.822916667,0.006138686,0.74025974,0.078947368,0
Ghostbusters ,0.570197044,0.291525424,0.007652174,0.014,0.001223438,0.155290748,0.041298789,0.003193093,0.093023256,0.239177703,0.011788284,1,0.00270073,0.506493506,0.078947368,0.17765043
Johnny English ,0.149014778,0.193220339,0.00126087,0.010956522,0.000667188,0.036781116,0.067871809,0.002224659,0.023255814,0.056137577,0.002865194,0.864583333,0.002218978,0.584415584,0.045209177,0.005730659
Barbershop 2: Back in Business ,0.060344828,0.257627119,0.000347826,0.022652174,0.00116875,0.085411319,0.005976592,0.006023785,0.093023256,0.013441392,0.00147352,0.875,0.004788321,0.532467532,0.045209177,0.000759312
Takers ,0.145320197,0.261016949,0.001478261,0.043478261,0.0359375,0.07592916,0.027788578,0.048009075,0.11627907,0.025894446,0.001637246,0.9375,0.02919708,0.597402597,0.078947368,0
Letters to God ,0.022167488,0.271186441,0.000565217,0.009608696,0.000685938,0.003745424,0.002329918,0.002386064,0,0.012650721,0.000286503,0.9375,0.002912409,0.61038961,0.04048583,0
The Legend of God's Gun ,0.002463054,0.162711864,0.00026087,0.00073913,5.00E-05,0.000320321,8.17E-05,0.000109634,0,0.00158134,2.44E-06,0.90625,0.000124088,0.324675325,0.078947368,3.72E-05
The Best Exotic Marigold Hotel ,0.323891626,0.318644068,0.004695652,0.008086957,0.0015625,0.060981609,0.04456316,0.002890077,0.069767442,0.052381894,0.000818614,0.947916667,0.002919708,0.74025974,0.078947368,0.137535817
Toy Story 3 ,0.556650246,0.247457627,0.005434783,0.031347826,0.0234375,0.545668945,0.322459593,0.029060649,0.069767442,0.144692627,0.016372624,0.9375,0.00729927,0.87012987,0.045209177,0.085959885
Fool's Gold ,0.215517241,0.277966102,0.003130435,0.031086957,0.0171875,0.092338605,0.035121577,0.021054315,0,0.027080451,0.005730407,0.916666667,0.00729927,0.519480519,0.078947368,0
Me Before You ,0.184729064,0.271186441,0.00073913,0.018173913,0.0171875,0.073837623,0.026464129,0.033273948,0,0.02549911,0.001637246,1,0.072992701,0.779220779,0.078947368,0.146131805
Trance ,0.482758621,0.240677966,0,0.038608696,0.0046875,0.00304932,0.054821427,0.00769875,0,0.041707847,0.001637246,0.96875,0.00729927,0.701298701,0.078947368,0.065902579
Civil Brand ,0.012315271,0.206779661,0.000913043,0.020391304,0.000932813,0.000319767,0.000324307,0.003890488,0.069767442,0.004546353,4.09E-05,0.854166667,0.003540146,0.480519481,0.045209177,0.000246418
Lucky Break ,0.056650246,0.261016949,0.000478261,0.018217391,0.001207813,7.16E-05,0.001145134,0.003715378,0,0.006523028,0.000491161,0.84375,0.005591241,0.597402597,0.078947368,8.60E-05
To Die For ,0.071428571,0.257627119,0.036304348,0.019913043,0.0015625,0.027875976,0.020576307,0.005478659,0,0.031824471,0.001637246,0.78125,0.007058394,0.675324675,0.045209177,0.00286533
This Is England ,0.210591133,0.240677966,0.009652174,0.030347826,0.0015625,0.000430972,0.058690026,0.004997488,0,0.037754497,0.000122777,0.895833333,0.005751825,0.792207792,0.045209177,0.031518625
Anastasia ,0.094827586,0.216949153,0.016652174,0.03273913,0.00625,0.076656453,0.051097227,0.009162061,0.023255814,0.037556829,0.004093143,0.802083333,0.00589781,0.714285714,0.078947368,0
Zoolander ,0.165024631,0.203389831,0,0.347826087,0.021875,0.059384933,0.118998626,0.05263198,0,0.103182447,0.002292152,0.84375,0.072992701,0.649350649,0.078947368,0
Halloween: Resurrection ,0.184729064,0.216949153,0.001217391,0.031782609,0.003125,0.039788644,0.01591943,0.008283465,0.11627907,0.121170192,0.00122793,0.854166667,0.006306569,0.324675325,0.078947368,0
Legend of the Guardians: The Owls of Ga'Hoole ,0.230295567,0.240677966,0,0.025086957,0.003125,0.073205463,0.038928628,0.006526274,0.023255814,0.031429136,0.006549039,0.9375,0.004766423,0.701298701,0.078947368,0.045845272
Motherhood ,0.051724138,0.203389831,0.000347826,0.021521739,0.0015625,0.000121943,0.002164214,0.004790401,0.023255814,0.004348686,0.000409298,0.927083333,0.006518248,0.402597403,0.045209177,0.00156447
Six-String Samurai ,0.061576355,0.206779661,0.000173913,0,5.16E-05,0.000163486,0.003318816,5.48E-05,0.023255814,0.01996442,0.000163709,0.8125,2.19E-05,0.662337662,0.045209177,0
Dear Wendy ,0.121921182,0.244067797,0.015043478,0.021217391,0.001479688,3.02E-05,0.00532502,0.003916374,0,0.011267049,0.004093143,0.875,0.003839416,0.649350649,0.032388664,0.001524355
Whatever It Takes ,0.060344828,0.216949153,0.000391304,0.026608696,0.0171875,0.011486261,0.004763993,0.020592938,0.093023256,0.017394742,0.00122793,0.833333333,0.006547445,0.506493506,0.045209177,0.002338109
Philomena ,0.434729064,0.230508475,0.015217391,0.014,0.0015625,0.049582216,0.045029498,0.003617925,0.046511628,0.045858865,0.000982341,0.96875,0.003518248,0.779220779,0.045209177,0.106017192
The Others ,0.293103448,0.240677966,0.019478261,0.003608696,0.000753125,0.126852021,0.158943376,0.001455697,0,0.219015616,0.001391657,0.84375,0.001481752,0.779220779,0.045209177,0.05730659
River's Edge ,0.054187192,0.233898305,0.001217391,0.009695652,0.028125,0.006048394,0.006958389,0.029919449,0.046511628,0.021743428,0.000155522,0.6875,0.00729927,0.714285714,0.045209177,0
American Gangster ,0.368226601,0.494915254,0,0.024391304,0.028125,0.171106489,0.192137459,0.03099295,0,0.090334058,0.008186303,0.90625,0.005708029,0.805194805,0.045209177,0
Around the World in 80 Days ,0.230295567,0.305084746,0.006652174,0.019434783,0.0015625,0.031563205,0.040665562,0.004834559,0,0.037556829,0.009004935,0.875,0.00729927,0.545454545,0.078947368,0
Half Nelson ,0.254926108,0.257627119,0.001347826,0.003086957,0.0515625,0.003543446,0.04194681,0.051366619,0.046511628,0.037161494,5.73E-05,0.895833333,0.003788321,0.727272727,0.045209177,0
Krampus ,0.242610837,0.230508475,0.002869565,0.024434783,0.0046875,0.056005325,0.017672343,0.006954152,0,0.035580154,0.00122793,0.989583333,0.00480292,0.597402597,0.078947368,0.077363897
I Am Sam ,0.157635468,0.345762712,0.001043478,0.022,0.001510938,0.052952573,0.072159403,0.004799537,0,0.084997035,0.001800973,0.84375,0.006656934,0.779220779,0.045209177,0.042979943
Ghost Town ,0.257389163,0.244067797,0.008347826,0.001347826,0.000540625,0.017375107,0.035810432,0.000761348,0.069767442,0.028859458,0.001637246,0.916666667,0.00029927,0.662337662,0.045209177,0
Control ,0.224137931,0.311864407,0.009130435,0.020478261,0.001320313,0.001145836,0.030387765,0.003980327,0.023255814,0.028068788,0.000368367,0.90625,0.004605839,0.792207792,0.078947368,0.037249284
Burnt ,0.214285714,0.240677966,0.002304348,0.025217391,0.021875,0.017949341,0.036309912,0.025773149,0.023255814,0.025301443,0.001637246,0.989583333,0.00729927,0.649350649,0.078947368,0.071633238
A Better Life ,0.11453202,0.230508475,0.005608696,0.009608696,0.001170313,0.002306567,0.007793419,0.003371248,0,0.015813402,0.000818614,0.947916667,0.001839416,0.727272727,0.045209177,0
Young Sherlock Holmes ,0.077586207,0.26779661,0.011826087,0.005391304,0.000242188,0.005588595,0.008797112,0.000921231,0.023255814,0.016801739,0.00147352,0.677083333,0.001051095,0.675324675,0.045209177,0
Bad Boys II ,0.11453202,0.396610169,0,0.038130435,0.015625,0.181979523,0.105412074,0.019725001,0.023255814,0.100810437,0.010642199,0.864583333,0.006554745,0.649350649,0.078947368,0
G-Force ,0.177339901,0.196610169,0.000521739,0.007913043,0.001140625,0.157027215,0.019551309,0.003375817,0,0.01759241,0.012279463,0.927083333,0.004430657,0.454545455,0.078947368,0
Aladdin ,0.151477833,0.203389831,0.00273913,0.027434783,0.0765625,0.285796755,0.154420838,0.080657195,0,0.048033208,0.002292152,0.75,0.01459854,0.831168831,0.010121457,0
Four Christmases ,0.172413793,0.196610169,0.003956522,0.042695652,0.00625,0.157968425,0.028699359,0.015094483,0.046511628,0.024313105,0.006549039,0.916666667,0.02189781,0.519480519,0.045209177,0
Quinceañera ,0.083743842,0.203389831,0.001086957,0.006,0.000360938,0.002221991,0.002171907,0.001173998,0.023255814,0.009290374,3.27E-05,0.895833333,0.001459854,0.714285714,0.078947368,0.00122063
Star Trek IV: The Voyage Home ,0.129310345,0.301694915,0.52173913,0.027956522,0.01875,0.144263182,0.036464372,0.023524127,0.11627907,0.04309152,0.002046562,0.6875,0.004846715,0.74025974,0.078947368,0
10 Things I Hate About You ,0.162561576,0.227118644,0.000826087,0.036304348,0.0359375,0.050198107,0.131435311,0.057720829,0.139534884,0.108321803,0.001309793,0.822916667,0.094890511,0.727272727,0.045209177,0.028653295
The Adventurer: The Curse of the Midas Box ,0.033251232,0.237288136,0.000130435,0.003826087,0.003125,6.04E-06,0.002477276,0.003730605,0.093023256,0.006127693,0.002046562,0.96875,0.001664234,0.493506494,0.078947368,0
My Super Ex-Girlfriend ,0.179802956,0.220338983,0.018478261,0.024347826,0.001520313,0.029619742,0.031885612,0.004167618,0.023255814,0.03992884,0.002455878,0.895833333,0.005664234,0.454545455,0.078947368,0.00286533
Out Cold ,0.044334975,0.2,8.70E-05,0.028304348,0.001248438,0.018281389,0.008670467,0.006533888,0,0.01759241,0.000900477,0.84375,0.005189781,0.61038961,0.045209177,0
Oculus ,0.412561576,0.250847458,0.002565217,0.008782609,0.00151875,0.03640908,0.050707231,0.003153503,0,0.066811623,0.000409298,0.96875,0.002970803,0.636363636,0.078947368,0.065902579
Robin Hood ,0.421182266,0.427118644,0,0.032086957,0.001392188,0.138354749,0.125319646,0.004939625,0,0.1077288,0.016372624,0.9375,0.006437956,0.662337662,0.078947368,0.048710602
Die Another Day ,0.323891626,0.349152542,0.004043478,0.032434783,0.001201563,0.210650554,0.100552209,0.003864602,0,0.234038347,0.011624558,0.854166667,0.005591241,0.584415584,0.078947368,0
Exiled ,0.119458128,0.271186441,0.006217391,0.003304348,0.000242188,6.48E-05,0.004091708,0.000606033,0,0.004941688,0.002865194,0.895833333,0.00070073,0.74025974,0.078947368,0.001512894
Hardball ,0.103448276,0.257627119,0.002086957,0.001695652,0.028125,0.052885267,0.013400728,0.028367822,0.069767442,0.025696778,0.00171911,0.84375,0.004072993,0.61038961,0.045209177,0
The Muse ,0.118226601,0.227118644,0.032391304,0.032391304,0.01875,0.015271515,0.005497234,0.02315868,0.046511628,0.027475786,0.00122793,0.822916667,0.005992701,0.519480519,0.012820513,0.000719198
Bride of Chucky ,0.139162562,0.2,0.001347826,0.003086957,0.000445313,0.042562204,0.023531758,0.001015638,0,0.057521249,0.002046562,0.8125,0.000591241,0.480519481,0.045209177,0
Beavis and Butt-Head Do America ,0.07635468,0.172881356,0.017652174,0.026782609,0.0203125,0.082932938,0.025380542,0.025939123,0,0.030243131,0.000982341,0.791666667,0.01459854,0.675324675,0.045209177,0
The Ladykillers ,0.236453202,0.250847458,0.043478261,0.040826087,0.0375,0.052191559,0.049785798,0.063497937,0.023255814,0.078869342,0.002865194,0.875,0.109489051,0.597402597,0.045209177,0
Sabotage ,0.285714286,0.26779661,0.019695652,0.005217391,0.0015625,0.013806348,0.028106375,0.00222009,0.069767442,0.041707847,0.002865194,0.979166667,0.00150365,0.532467532,0.045209177,0.028653295
The Canyons ,0.198275862,0.233898305,0.011347826,0.020043478,0.00144375,6.49E-05,0.005033854,0.004357955,0,0.016999407,2.04E-05,0.96875,0.006094891,0.298701299,0.078947368,0
Contact ,0.194581281,0.406779661,0,0.005869565,0.0171875,0.132613963,0.118686156,0.018712408,0.046511628,0.120577189,0.007367671,0.802083333,0.00729927,0.753246753,0.078947368,0.042979943
The Emperor's Club ,0.100985222,0.26779661,0.004217391,0.015434783,0.0203125,0.018488735,0.008491743,0.021846116,0.023255814,0.027278118,0.001023272,0.854166667,0.00580292,0.688311688,0.045209177,0
The Astronaut's Wife ,0.130541872,0.26779661,0.000304348,0.043478261,0.0625,0.014009651,0.026922182,0.080125775,0,0.051195889,0.002783331,0.822916667,0.065693431,0.480519481,0.045209177,0.00286533
Layer Cake ,0.18226601,0.254237288,0.039347826,0.02026087,0.0421875,0.003074971,0.079339716,0.044579964,0.023255814,0.051788891,0.000327435,0.875,0.004335766,0.753246753,0.078947368,0
My Sister's Keeper ,0.181034483,0.26779661,0.018043478,0.009913043,0.001051563,0.064675172,0.044071965,0.002702785,0.046511628,0.036173157,0.002455878,0.927083333,0.003569343,0.753246753,0.078947368,0.042979943
Don't Say a Word ,0.137931034,0.281355932,0.001695652,0.02073913,0.0015625,0.072316769,0.023883287,0.005087327,0,0.048823878,0.004093143,0.84375,0.006656934,0.61038961,0.078947368,0.00277937
Nim's Island ,0.169950739,0.223728814,0.000130435,0.001521739,0.028125,0.063124237,0.016631958,0.027679564,0.069767442,0.02154576,0.003028921,0.916666667,0.00059854,0.571428571,0.078947368,0
Charlie's Angels ,0.221674877,0.216949153,0.016,0.02026087,0.0203125,0.164765873,0.086015225,0.023478446,0,0.12690255,0.007531397,0.833333333,0.00729927,0.506493506,0.078947368,0
Poetic Justice ,0.013546798,0.26779661,0.013434783,0.012130435,0.000925,0.036180695,0.005266431,0.002466767,0,0.005930026,0.001146067,0.760416667,0.004058394,0.558441558,0.045209177,0
Home Run ,0.011083744,0.281355932,0.00126087,0.019521739,0.001390625,0.003760383,0.001427422,0.004082347,0.046511628,0.006127693,9.82E-05,0.96875,0.006189781,0.571428571,0.078947368,0
Into the Blue ,0.146551724,0.271186441,0.005826087,0.034565217,0.0359375,0.024289366,0.037634953,0.038142007,0.069767442,0.040917177,0.004093143,0.885416667,0.00729927,0.545454545,0.078947368,0
Finding Nemo ,0.369458128,0.237288136,0.020652174,0.03473913,0.0015625,0.500770363,0.409808144,0.008589527,0,0.170982408,0.007695124,0.864583333,0.006854015,0.857142857,0.045209177,0.031518625
