movie_title,PC_1,PC_2
Getaway,-0.182929222,-0.174173714
Everest,0.205791098,-0.15193199
Dream House,-0.068362862,-0.093165121
Fury,0.380215985,-0.149729033
Fast Five,0.387077212,-0.146063337
The Lunchbox,0.045332791,-0.023390062
Chernobyl Diaries,-0.029481857,-0.211567142
Pushing Tin,-0.16188732,0.044916395
The Sum of All Fears,0.027558276,-0.020595827
Body of Lies,0.090952057,-0.03763304
Insidious,0.297254676,-0.206575913
Sweet November,-0.066890145,0.04017981
Star Trek IV: The Voyage Home,0.117355897,0.458254853
The Grudge 2,-0.124091234,-0.077424505
Wrong Turn,-0.034437133,-0.060005384
A Better Life,-0.083657981,0.015363807
Wasabi,-0.167817672,0.059235181
Me Before You,0.056654194,-0.042222027
My Best Friend's Girl,-0.146305356,-0.026809956
10 Things I Hate About You,0.029822955,0.046460957
Lonesome Jim,0.006804182,0.335160808
The Bone Collector,-0.056140417,0.066627591
The Bridges of Madison County,0.151790452,0.560699607
Date Night,0.097679008,-0.129976815
Courageous,-0.097237403,0.052812175
In the Bedroom,0.049126551,0.051224436
Molière,-0.091461924,0.055054281
Pain & Gain,0.165913523,-0.162994182
The Emperor's Club,-0.102938813,0.0540342
Clueless,-0.074496821,0.079508707
Maurice,-0.10990634,0.221891859
Mission: Impossible III,0.396841761,0.288052542
The New Guy,-0.179714334,0.009738631
Furious 7,0.551067864,-0.261129571
Zodiac,0.55659855,0.498308063
Tower Heist,0.034801827,-0.10475333
The Rage: Carrie 2,-0.218981638,-0.053505505
Austin Powers: International Man of Mystery,-0.020209519,0.043729471
Serendipity,-0.042580523,0.02147001
Soul Plane,-0.246159685,-0.09313508
The Covenant,-0.134231713,-0.07204504
Home,0.04659068,-0.093282084
Excessive Force,-0.282404652,0.031146887
Head of State,-0.210288562,-0.018970369
Made in Dagenham,-0.026904667,-0.015863394
Shark Night 3D,-0.133496857,-0.225235528
Kung Fu Panda,0.224851496,-0.052357058
Stepmom,-0.082489842,0.071656622
You Kill Me,-0.105247232,-0.017258361
Hustle & Flow,-0.003840679,0.030612682
Ex Machina,0.414380595,-0.21230325
Adore,-0.081181087,-0.067844907
Enchanted,0.097931535,-0.03972522
Skyfall,0.814642931,-0.319529808
Robin Hood,0.224620374,-0.120806999
Licence to Kill,-0.066949157,0.098357994
Drop Dead Gorgeous,-0.125572252,0.045196808
Jumper,0.068472113,-0.103311259
Doctor Dolittle,-0.149733378,-0.020624509
Don Jon,0.460111339,0.425443892
Burlesque,0.0076366,-0.077038357
Whatever Works,0.160676235,0.244549623
Beasts of the Southern Wild,0.398537223,-0.291219143
Fame,-0.146943283,-0.101215433
Harley Davidson and the Marlboro Man,-0.21178476,0.083436886
The Age of Innocence,0.110876936,0.593134169
The Heat,0.149131924,-0.125677948
Fascination,-0.357591046,-0.107230026
Semi-Pro,-0.080011779,-0.083391362
Slam,-0.163327579,0.12063188
Get on Up,-0.002452381,-0.039361558
Step Up Revolution,-0.066848585,-0.051547289
Where the Wild Things Are,0.143387939,-0.129004246
Ghost World,-0.002731625,0.062957729
The Funeral,-0.166813829,0.085745232
The Lucky Ones,-0.119449675,0.048174665
Dick Tracy,-0.120201336,0.087515983
On Her Majesty's Secret Service,-0.056136267,0.200592856
American Sniper,0.745749151,0.179677653
Next Stop Wonderland,-0.161404217,0.085780179
Gossip,-0.188329596,0.012096314
Nim's Island,-0.095264687,-0.062678942
Club Dread,-0.170184671,-0.000906628
Burnt,-0.012069618,-0.090106434
A Nightmare on Elm Street 2: Freddy's Revenge,-0.147848924,0.025050656
Drowning Mona,-0.177474508,-0.010601769
Madagascar,0.094717016,-0.027217824
Death Race,0.044107532,-0.065908528
Twilight,0.312325286,-0.234043001
Fifty Shades of Grey,0.222474593,-0.326992551
A Perfect Getaway,-0.032773662,-0.047681346
GoldenEye,0.045243746,0.090225455
Angels & Demons,0.20042509,-0.038842811
People I Know,-0.221236281,-0.003224615
This Christmas,-0.166195056,0.005024133
Paycheck,0.008256967,-0.023615325
Finishing the Game: The Search for a New Bruce Lee,-0.191843525,0.023667798
Safe Men,-0.212239509,0.050348804
The Lovely Bones,0.145213786,-0.104621838
Eye for an Eye,-0.183704122,0.065677705
The Other Boleyn Girl,0.09779535,-0.0919818
The Imitation Game,0.505797284,-0.191549811
Dark Water,-0.059260206,-0.086946885
Million Dollar Baby,0.507240966,0.44356858
Tropic Thunder,0.210842895,-0.086286873
Snow Flower and the Secret Fan,-0.170908309,-0.021874191
Beverly Hills Cop II,0.034959325,0.427353249
Defendor,-0.11496999,0.010499032
The Damned United,-0.02675507,0.01682378
From Hell,0.047223003,-0.003187513
Extremely Loud & Incredibly Close,0.125669032,-0.094293053
Waiting...,-0.085188589,0.01940372
Bobby,0.00450691,-0.020168616
Meet Dave,-0.176139665,-0.11053195
School of Rock,0.084146527,-0.005254058
Special,-0.146905963,0.033400299
American Pie 2,0.020647271,-0.00442351
Lost in Translation,0.265277283,-0.007177428
Saw 3D: The Final Chapter,-0.061750584,-0.11691657
Joy Ride,-0.059508506,0.009733836
Porky's,-0.140565562,0.119027543
Lions for Lambs,0.038170541,-0.125406225
Hot Tub Time Machine 2,-0.170668904,-0.123749865
Catch Me If You Can,0.448264762,0.427725542
Control,0.038317053,0.022962247
Wicker Park,-0.068804143,0.046060851
Disclosure,-0.14089777,0.073168102
Major League,-0.10473998,0.14416258
The Rocker,-0.091863669,-0.047618298
Bottle Shock,-0.088537428,0.004081114
Stuart Little,-0.089927754,-0.010184701
Swordfish,0.010350087,-0.013648055
Under the Rainbow,-0.274941348,0.115356785
Doogal,-0.371261654,-0.166427348
Tangled,0.288095232,-0.086613456
She's All That,-0.112978694,-0.007270431
Quigley Down Under,-0.152897711,0.140489804
Good Boy!,-0.228865672,-0.041596984
Vampire in Brooklyn,-0.280096179,-0.014191875
The Replacement Killers,-0.123429035,0.034718156
American Gangster,0.273092498,-0.008075851
The Help,0.401598032,-0.098375222
Grease,0.033846883,0.158395779
Something Borrowed,-0.088124336,-0.07262815
Transamerica,-0.006811606,0.015647091
Serial Mom,-0.15540568,0.089950383
Blade II,0.07831277,-0.030166908
The Gift,0.124409937,-0.122893482
The River Wild,-0.161013437,0.086900048
I Love You Phillip Morris,0.020596944,-0.083997782
Hannah Montana: The Movie,-0.174332712,-0.154909116
Fantastic Four,0.079172278,-0.313690115
Flawless,-0.122512823,0.05610784
Dark City,0.109558401,0.047345281
The English Patient,0.038415305,0.123853274
J. Edgar,0.383337317,0.262395302
About a Boy,0.010036442,0.026068394
All the King's Men,-0.082780257,-0.014050255
District B13,-0.049547496,0.022263752
The Number 23,0.046870089,-0.066433834
Hobo with a Shotgun,0.02176214,-0.155997668
This Is 40,0.089010207,-0.136372126
Jerry Maguire,0.049704748,0.111958263
Salvation Boulevard,-0.227224106,-0.064056673
Argo,0.616592182,-0.276133353
Pulse,-0.15734658,-0.126143108
Bring It On,-0.07380873,-0.018744043
The Best Exotic Marigold Hotel,0.130220924,-0.077615418
The Perfect Storm,0.116689963,-0.03298475
88 Minutes,-0.072390581,-0.063225329
Courage,-0.137732193,0.022272999
Copying Beethoven,-0.11920759,0.03462935
Son of the Mask,-0.343023175,-0.206979229
The Royal Tenenbaums,0.137974035,0.023851218
Hereafter,0.307083399,0.299143237
Heavenly Creatures,-0.070654197,0.114025381
Eye of the Beholder,-0.192329749,-0.03802094
Our Brand Is Crisis,-0.105136738,-0.073200335
The Princess Diaries 2: Royal Engagement,-0.123974264,-0.022282522
L.A. Confidential,0.187076701,0.122034089
The Cat in the Hat,-0.201597756,-0.143191427
Safe House,0.172115696,-0.126207819
In Dreams,-0.19667862,0.00975947
Valentine,-0.180169923,-0.081981357
Darkness,-0.150391923,-0.039756677
Lawrence of Arabia,0.127619474,0.357702178
Country Strong,-0.082807066,-0.045286633
The Adventurer: The Curse of the Midas Box,-0.232011073,-0.057126301
Hoot,-0.207332777,-0.026311729
The Legend of Tarzan,0.097138202,-0.132854687
The Jungle Book,0.431364634,-0.066571374
Apocalypto,0.229654358,-0.012744779
Pan,0.021910817,-0.160270531
Universal Soldier: The Return,-0.267917906,-0.083246298
What Happens in Vegas,-0.043420545,-0.057556222
Finding Nemo,0.459681765,-2.28E-05
Safe,0.038090154,-0.118386505
The Godfather: Part II,0.314970978,0.326336264
On the Waterfront,-0.021327063,0.356666382
The Night Listener,-0.127487383,-0.056578065
Burn,-0.136637958,0.053891565
Alone in the Dark,-0.263132096,-0.214511155
The 6th Day,-0.047318775,-0.027615488
The Angry Birds Movie,-0.034708324,-0.098059498
Deliver Us from Evil,0.033623596,-0.12470582
The Young Victoria,0.008533524,-0.017893714
The Horse Boy,-0.137662817,0.064376696
The Jackal,-0.088414105,0.052998176
Haywire,0.114921075,-0.224457061
Toy Story,0.22522806,0.119196754
Die Hard with a Vengeance,0.091740009,0.109236527
Mrs. Doubtfire,-0.005907345,0.105438039
Cruel Intentions,-0.027553884,0.052927643
Big Fat Liar,-0.184677086,-0.025823042
National Lampoon's Vacation,0.040319715,0.475227335
V for Vendetta,0.638889027,-0.111990977
Traffic,0.186887953,0.060360135
The Missing Person,-0.168155546,-0.017632045
Labor Day,0.02883715,-0.058578524
A Night at the Roxbury,-0.1550468,0.034319599
Don't Say a Word,-0.083206955,0.010462222
The Beyond,-0.044076672,0.096228735
Whatever It Takes,-0.216154612,-0.001514025
Who Killed the Electric Car?,-0.070577131,0.064683597
Confidence,-0.088066977,0.015819102
Funny Games,0.03158172,-0.077134027
Fool's Gold,-0.058394372,-0.094470512
The Bounty Hunter,-0.066287448,-0.102389868
Bandits,-0.048285058,0.028417268
Another Year,0.065662631,-0.028157265
At First Sight,-0.169882768,0.038626919
Post Grad,-0.18388228,-0.080562431
The Fugitive,0.085232957,0.130881701
The Fountain,0.158416503,-0.059486212
The Widow of Saint-Pierre,-0.112446739,0.098450972
Vantage Point,0.057000572,-0.085170245
Dave Chappelle's Block Party,-0.061053771,0.058804799
Steamboy,-0.096580846,0.030007987
City of Ember,-0.095026825,-0.024432169
Thor: The Dark World,0.517260119,-0.262488234
Big Fat Liar,-0.184677086,-0.025823042
The Unborn,-0.11133872,-0.133927083
The Thirteenth Floor,-0.067719204,0.05457934
Les Misérables,0.560910292,-0.245190081
The Color Purple,0.150035562,0.580133271
Tae Guk Gi: The Brotherhood of War,-0.015892803,0.119743798
Paranormal Activity 3,0.039782027,-0.157355883
The DUFF,-0.055658833,-0.070430092
