movie_title,MDS_1,MDS_2
Home Fries,1.378581684,-0.768844544
Firewall,0.818472646,-0.686244083
Dick,0.96580812,-0.342845291
The Number 23,0.896312554,-0.113066593
Underclassman,0.137239996,-2.070199068
Reservoir Dogs,-8.026693119,1.018159536
Down to Earth,1.382145453,-0.496693429
The Muppet Christmas Carol,0.494394834,1.281609441
Election,0.840682103,0.772723892
Ghostbusters,-2.034623585,-1.679826473
Johnny English,1.303635316,-0.047524436
Barbershop 2: Back in Business,1.4641054,-0.440485446
Takers,1.427500937,-0.304260188
Letters to God,1.598187304,-0.082145384
The Legend of God's Gun,-0.013663876,-2.141567471
The Best Exotic Marigold Hotel,0.633426037,0.207741441
Toy Story 3,-3.681249414,-0.31938984
Fool's Gold,1.126428498,-0.549618104
Me Before You,1.041174946,0.270379589
Trance,-0.279744208,-0.277850317
Civil Brand,1.372742771,-0.88934208
Lucky Break,1.542034983,0.188328066
To Die For,1.221530747,0.825991796
This Is England,0.913684577,0.696926035
Anastasia,1.074222815,0.819234237
Zoolander,-0.883823152,-0.303465295
Halloween: Resurrection,-0.069913053,-1.831031636
Legend of the Guardians: The Owls of Ga'Hoole,1.144147659,0.154167967
Motherhood,0.818890062,-1.473802961
Six-String Samurai,1.342296138,0.58650169
Dear Wendy,1.437718333,0.272642633
Whatever It Takes,1.49168921,-0.506802382
Philomena,-0.00761176,0.113880105
The Others,-0.210714874,0.786504449
River's Edge,0.529481926,1.395192467
American Gangster,-0.253186555,0.767649569
Around the World in 80 Days,1.126314925,-0.269815084
Half Nelson,0.962181355,0.382042304
Krampus,1.062274908,-0.477076385
I Am Sam,0.868282949,0.953804586
Ghost Town,1.066222951,0.055197011
Control,1.012807916,0.682176182
Burnt,1.25058831,-0.222979285
A Better Life,1.390225325,0.348700685
Young Sherlock Holmes,0.776440876,1.229777418
Bad Boys II,0.720136974,0.534157414
G-Force,0.699349594,-1.05156418
Aladdin,-1.139222531,1.340602883
Four Christmases,0.996540281,-0.676951681
Quinceañera,1.35023209,0.469907508
Star Trek IV: The Voyage Home,-4.819687741,1.453781855
10 Things I Hate About You,0.686867612,0.721657854
The Adventurer: The Curse of the Midas Box,1.124437494,-1.199826598
My Super Ex-Girlfriend,1.096543688,-0.849183936
Out Cold,1.495044784,0.220740551
Oculus,0.169715213,-0.412082694
Robin Hood,-0.112477857,-0.044385396
Die Another Day,-0.367077655,-0.134041946
Exiled,1.311139362,0.584544503
Hardball,1.476601473,0.196669178
The Muse,1.464092252,-0.222410554
Bride of Chucky,1.320481501,-0.390497323
Beavis and Butt-Head Do America,1.062272317,0.698275526
The Ladykillers,1.069956832,-0.111513472
Sabotage,0.850494378,-0.732469773
The Canyons,-0.32633759,-2.15224395
Contact,0.444718256,1.041433493
The Emperor's Club,1.382263707,0.5301448
The Astronaut's Wife,1.22965862,-0.575789072
Layer Cake,1.071126077,0.672637176
My Sister's Keeper,1.245351405,0.485634845
Don't Say a Word,1.400170114,0.209769056
Nim's Island,1.350986995,-0.330350579
Charlie's Angels,0.582438842,-0.455462375
Poetic Justice,1.516909549,0.487800929
Home Run,1.517659561,-0.65764388
Into the Blue,1.443907667,-0.310322403
Finding Nemo,-3.762459946,0.497646256
Tadpole,1.360196222,0.142621235
The Untouchables,-0.208048068,1.587528275
Ready to Rumble,1.476006451,-0.504607349
Inside Man,0.521087409,0.717965899
The Time Machine,1.167896504,-0.134820115
Mad Max Beyond Thunderdome,1.049854899,0.821005574
Rumble in the Bronx,1.235480936,0.673441366
28 Days,1.359239627,-0.00180563
Fireproof,1.523936287,0.201711748
Hotel Rwanda,0.48719325,1.007559619
Bella,1.228663142,0.657233314
Nanny McPhee,1.357535882,0.166140135
Head of State,1.439399853,-0.567854241
From Dusk Till Dawn,0.64002265,0.895403699
The Prophecy,1.297272027,0.648260658
Tangled,-0.507137293,0.416403488
In Her Line of Fire,0.096106824,-2.101564832
Resident Evil: Afterlife,0.66084922,-0.573587027
My Name Is Bruce,1.419681443,-0.07464852
The Doors,0.628101901,1.249252908
Primary Colors,1.068890289,0.653989084
DragonHeart,1.346898201,0.535579657
The Legend of Zorro,1.328245516,-0.153796459
The Howling,0.452039358,1.044459875
Cape Fear,-7.752096137,0.832703438
Vertical Limit,1.236380984,0.00614774
The Manchurian Candidate,0.993890132,0.226451214
The 6th Day,1.18859594,-0.049109497
A View to a Kill,0.803428201,0.945752826
Dragonfly,1.448268542,0.031482972
Jack and Jill,-1.393113536,-2.822337025
DOA: Dead or Alive,0.866871502,-1.278715909
G.I. Jane,1.422692947,0.061653025
The Fan,-4.765744872,0.38170349
Men in Black II,-0.050062883,-0.207865955
Never Back Down,1.422258664,0.119853077
Team America: World Police,0.585677261,0.410091681
Bill & Ted's Excellent Adventure,0.651713732,1.067603516
The BFG,-3.802024381,-0.156887298
The Animal,1.104559983,-0.962891902
2046,0.917611975,0.698138709
Trees Lounge,-4.164272567,1.343708533
A Very Long Engagement,0.888755252,0.822230282
Ulee's Gold,1.15757691,0.89300529
Funny People,0.789305739,-0.020707217
Conan the Barbarian,0.123201958,1.295360454
Becoming Jane,1.323942775,0.420734727
The Fountain,0.124230346,0.334315494
This Christmas,0.796209681,-0.938946868
Freeheld,1.421822244,-0.197784586
Alpha and Omega,1.240295512,-0.835425347
Terminator Genisys,-1.342884569,-0.86179209
Sicario,-1.04185061,-0.10084661
Hit and Run,1.214741769,-0.463641477
Teenage Mutant Ninja Turtles,-0.841751943,-0.983880469
The Boondock Saints II: All Saints Day,1.457563461,-0.020876521
The Love Guru,-0.65648054,-2.381656655
Semi-Pro,1.267051416,-0.452911269
Tremors,0.722240709,1.003967013
The Red Violin,0.812263307,1.143666445
Strange Wilderness,1.185626707,-1.018552776
Arbitrage,0.631541545,-0.219742299
Cruel Intentions,0.934674476,0.624230158
In the Land of Blood and Honey,-4.150006514,-2.475227799
Pirates of the Caribbean: The Curse of the Black Pearl,-3.879518756,0.787014569
Get Carter,1.317580328,-0.637361219
Club Dread,1.495131786,-0.393504852
The Legend of Hercules,0.026354129,-1.876730418
The Client,1.02146718,0.987343571
I Am Number Four,0.382169063,-0.475147465
Entrapment,1.224839606,0.204707706
Courage,1.644361807,0.186188878
Charlie Bartlett,1.211039975,0.271836532
Bring It On,1.279050257,-0.073274296
Twilight Zone: The Movie,0.895901693,1.079607489
Star Trek VI: The Undiscovered Country,0.759146265,1.068163458
The Other Boleyn Girl,-7.118646503,-2.933667332
The Mothman Prophecies,1.166731073,0.264232399
Austin Powers in Goldmember,-0.092820787,-0.142475663
Simply Irresistible,1.479296249,-0.543169917
Blade II,0.694953648,0.327388269
Bamboozled,1.346973563,0.570396001
Antitrust,1.441077061,0.056174476
American Outlaws,1.548509831,0.007070628
The Transporter Refueled,0.922409633,-1.123482095
Fantastic Four,-1.735388129,-2.256431749
The Pink Panther,1.083475695,-0.493588376
Anacondas: The Hunt for the Blood Orchid,0.921671783,-1.227545535
What Happens in Vegas,1.231457229,-0.215902699
Urbania,1.297395153,0.764797944
Mission: Impossible - Ghost Protocol,-1.051963988,0.085588599
RoboCop,-1.637647753,-1.092104551
The Conspirator,1.174972972,0.191459918
Toy Story,-2.235313741,1.267741658
Pushing Tin,1.579072208,0.149760628
Puss in Boots,0.453589974,-0.163765486
Stepmom,1.217857944,0.701495044
The Joneses,1.348973771,-0.083505917
Jay and Silent Bob Strike Back,0.772991703,0.412567001
Monster House,1.033983944,0.028538134
Twilight,-3.785144048,-2.249730052
Hocus Pocus,1.084170086,0.852968371
Lonesome Jim,-3.611556965,0.679328535
Loser,1.44395208,-0.448514505
Domino,-3.545563306,-0.027791756
Critical Care,1.610042712,0.246731631
Eye of the Beholder,1.190836817,-0.767871101
Forrest Gump,-7.706491491,0.305663728
Derailed,1.423094862,0.249085345
Wasabi,1.43832656,0.446842081
Scooby-Doo 2: Monsters Unleashed,1.007072096,-0.990793817
Mr. & Mrs. Smith,-0.029914474,0.098847695
Love Stinks,1.569450193,-0.111507207
Hollywood Ending,-2.883215051,0.871284963
Pulse,0.764708492,-1.262680629
Inception,-15.25772052,8.993969025
Johnny English Reborn,1.305583082,-0.203595068
Fair Game,1.129768506,0.025678771
Beautiful Creatures,0.893067944,-0.452776471
Crazy Heart,0.653521405,0.295846989
The Lives of Others,0.289792678,1.068781582
Girl 6,1.387806078,-0.820149893
Aliens vs. Predator: Requiem,-0.047922106,-1.304723419
Driven,0.770006079,-1.220160118
We Were Soldiers,0.93798259,0.649471921
Lions for Lambs,-1.653342081,-1.433491866
Flicka,1.533259863,-0.065604584
Hostage,0.852811411,0.075489485
The Relic,1.456295693,-0.018423369
Pandorum,0.97389614,0.093543584
The Messenger,0.993563948,0.264039796
The Covenant,1.234302482,-0.676326365
Bottle Rocket,1.051589489,0.831798924
Escape from New York,-0.17039505,1.322518412
Rounders,0.98498686,0.933378768
Away We Go,0.991116516,0.190472272
Little Shop of Horrors,0.7542633,1.213782002
Someone Like You...,1.495615279,0.047056073
The Last Dragon,0.683444992,1.288379107
The Tuxedo,1.366195266,-0.524842835
Creepshow 2,1.275740462,0.507123119
Sweet November,1.346910135,0.462696216
88 Minutes,1.332317859,-0.306480962
Star Trek Into Darkness,-5.948319875,-0.749536741
The Order,1.2678997,-0.722650146
Analyze This,-2.920842576,0.874282006
Shorts,0.193163437,-1.725989112
Coco Before Chanel,1.339264354,0.103586133
Meet Joe Black,0.061721723,1.088315697
Doogal,-2.142051838,-3.393877188
Ratatouille,-0.908719581,0.707727765
Drowning Mona,1.481233217,-0.231940157
The Game,-9.546769242,0.053938899
Moulin Rouge!,-1.520235144,0.745249792
Harold & Kumar Go to White Castle,1.016587677,0.458726649
The Illusionist,0.396386141,0.64270482
Tim and Eric's Billion Dollar Movie,1.189813553,-0.974649555
American Wedding,0.830692748,-0.063799932
Les couloirs du temps: Les visiteurs II,1.620923424,0.356727293
Big Momma's House 2,0.732171667,-1.407691471
Spanglish,1.363926081,0.277156481
The Lost World: Jurassic Park,-5.921257595,0.2722549
The Count of Monte Cristo,0.888621263,0.950569162
The Chronicles of Narnia: The Voyage of the Dawn Treader,0.849165781,-0.248996216
Crossover,-4.414765186,-4.389527071
Fury,-0.613015034,0.068556092
Dredd,-0.977730803,-0.283899757
The In Crowd,0.922224666,-1.337665318
The Expendables 2,-4.000461795,-1.983199845
Blue Car,1.40290092,0.436259665
Blow,0.848497401,0.908453074
