movie_title,MDS_1,MDS_2
Home Fries,-3.749194859,-3.382686184
Firewall,-1.594896062,0.422728698
Dick,-3.148125411,-0.691616832
The Number 23,-2.998930763,3.835128411
Underclassman,-1.189647803,-5.322894541
Reservoir Dogs,17.37206487,-7.78165134
Down to Earth,-4.605759659,-2.002058147
The Muppet Christmas Carol,-1.289435153,0.038528015
Election,-3.15221145,3.314764788
Ghostbusters,8.309428759,0.952280816
Johnny English,-5.275360722,1.029318874
Barbershop 2: Back in Business,-4.690329835,-1.273643071
Takers,-4.227867531,1.264947629
Letters to God,-4.253176245,-0.805351741
The Legend of God's Gun,-0.414130697,-5.83551853
The Best Exotic Marigold Hotel,0.295426745,3.921471271
Toy Story 3,15.73387583,-1.01039318
Fool's Gold,-4.273174471,1.515886041
Me Before You,-0.029135136,2.479051213
Trance,3.116710216,3.636415797
Civil Brand,-3.855237982,-3.206211893
Lucky Break,-5.276083902,-0.543944871
To Die For,-4.835930932,0.362468852
This Is England,-2.089288019,3.504515276
Anastasia,-4.156941196,1.351648577
Zoolander,2.286913326,-0.749799755
Halloween: Resurrection,-0.511909221,-3.956825107
Legend of the Guardians: The Owls of Ga'Hoole,-3.222661075,3.691667442
Motherhood,-2.736982344,-4.051926807
Six-String Samurai,-4.915804721,-0.117349391
Dear Wendy,-5.253545599,1.152899757
Whatever It Takes,-4.612702241,-2.089756516
Philomena,2.850235339,3.850529247
The Others,1.943000898,3.235293454
River's Edge,-1.586628381,-1.33540006
American Gangster,5.095232103,2.247914735
Around the World in 80 Days,-4.41261371,1.963799327
Half Nelson,-2.701510604,3.512058303
Krampus,-2.732884149,3.007139486
I Am Sam,-2.008063725,3.126767716
Ghost Town,-3.510028924,3.332367087
Control,-1.787190789,3.618972546
Burnt,-3.103411412,3.066373049
A Better Life,-3.564882595,1.710182409
Young Sherlock Holmes,-2.17548409,-1.172279586
Bad Boys II,-1.358012053,1.167214339
G-Force,-2.444111505,-1.869523596
Aladdin,3.417299569,-0.081527038
Four Christmases,-3.309069934,-0.288630747
Quinceañera,-4.163083486,0.914118653
Star Trek IV: The Voyage Home,8.532515252,-5.120855876
10 Things I Hate About You,-1.21778577,1.720768279
The Adventurer: The Curse of the Midas Box,-3.258468996,-2.768985339
My Super Ex-Girlfriend,-4.099672131,-1.799211887
Out Cold,-5.098450059,-0.6758044
Oculus,0.822463153,4.056057061
Robin Hood,3.070575058,3.385520629
Die Another Day,1.991255404,2.000752731
Exiled,-3.843375756,1.983304243
Hardball,-5.491793676,0.575822757
The Muse,-5.022655069,-1.08618779
Bride of Chucky,-4.456774534,-1.650397716
Beavis and Butt-Head Do America,-3.932185431,0.187003066
The Ladykillers,-3.131030252,2.375092408
Sabotage,-1.848729834,2.18585633
The Canyons,0.065157904,-4.660880589
Contact,0.204083775,2.520715889
The Emperor's Club,-5.233755911,1.48134253
The Astronaut's Wife,-3.681478757,-1.470960864
Layer Cake,-3.103071207,3.196177052
My Sister's Keeper,-3.091602056,3.437683476
Don't Say a Word,-5.440078189,1.409340824
Nim's Island,-5.182984266,1.196918517
Charlie's Angels,-1.721719211,0.53093418
Poetic Justice,-4.221982739,-2.185376923
Home Run,-3.620884846,-1.603419235
Into the Blue,-5.36726607,0.533809944
Finding Nemo,13.12958155,-1.076371908
Tadpole,-4.941877749,-0.095050005
The Untouchables,1.067117982,0.722843958
Ready to Rumble,-4.649936403,-2.300354134
Inside Man,0.719425858,3.9126745
The Time Machine,-4.664334781,0.926021217
Mad Max Beyond Thunderdome,-2.782489026,-0.463874637
Rumble in the Bronx,-4.704087032,0.026891264
28 Days,-5.051997051,0.460555623
Fireproof,-4.606930574,0.526226416
Hotel Rwanda,0.825116848,3.42391978
Bella,-3.208955063,0.94561945
Nanny McPhee,-5.084080347,2.15828604
Head of State,-4.781922393,-2.165597519
From Dusk Till Dawn,-1.814372078,3.058988942
The Prophecy,-4.918537589,0.012114082
Tangled,4.841421339,3.051455522
In Her Line of Fire,-0.823849607,-5.672069169
Resident Evil: Afterlife,-1.768269844,3.860809121
My Name Is Bruce,-5.125377078,0.507751147
The Doors,-1.878118126,0.359817034
Primary Colors,-3.628538826,1.347616311
DragonHeart,-5.106618267,0.136082337
The Legend of Zorro,-4.865363622,1.369916853
The Howling,-1.097766441,-0.524728656
Cape Fear,14.08992879,-8.230296656
Vertical Limit,-4.755223115,1.036553888
The Manchurian Candidate,-3.137213561,3.604846595
The 6th Day,-4.550025093,1.789108402
A View to a Kill,-2.231817685,-0.455307714
Dragonfly,-5.632900333,0.955187796
Jack and Jill,1.770796001,-5.420838747
DOA: Dead or Alive,-3.133263956,-3.086893577
G.I. Jane,-4.886936171,-0.127154769
The Fan,6.778687486,-5.838770698
Men in Black II,0.576175721,1.597713064
Never Back Down,-4.896019007,2.592174969
Team America: World Police,-1.091777226,3.538363842
Bill & Ted's Excellent Adventure,-2.155779629,-0.257513366
The BFG,10.93566915,-4.997842044
