movie_title,MDS_1,MDS_2
Home Fries ,-0.96762421,5.069445165
Firewall ,-4.013032093,-0.499829637
Dick ,-3.577862366,2.684421972
The Number 23 ,-2.731457717,-2.592416813
Underclassman ,1.435161097,5.517705137
Reservoir Dogs ,19.29194102,-0.469934447
Down to Earth ,-2.914367122,3.994359993
The Muppet Christmas Carol ,-0.492089051,2.054411299
Election ,-1.828816045,-0.598736059
Ghostbusters ,7.339568895,-6.533294369
Johnny English ,-4.077367475,1.376056524
Barbershop 2: Back in Business ,-3.113238809,3.729861839
Takers ,-4.1825467,0.697500418
Letters to God ,-2.702693156,3.968392101
The Legend of God's Gun ,2.513092544,5.750288658
The Best Exotic Marigold Hotel ,-0.601396846,-4.173101846
Toy Story 3 ,14.1629919,-7.181842466
Fool's Gold ,-4.097029685,-0.30749619
Me Before You ,-2.492970227,-2.531662913
Trance ,1.691518712,-5.413769783
Civil Brand ,-0.489330918,5.206426632
Lucky Break ,-2.458680474,3.922903998
To Die For ,-1.248380269,2.71001255
This Is England ,-2.222920572,-1.221821031
Anastasia ,-1.943390791,1.601048054
Zoolander ,-2.869572337,-1.660443957
Halloween: Resurrection ,-0.630581489,3.253070401
Legend of the Guardians: The Owls of Ga'Hoole ,-3.173091837,-1.905369598
Motherhood ,0.125033563,5.163107202
Six-String Samurai ,-2.083392393,3.576347272
Dear Wendy ,-3.497500712,2.333841312
Whatever It Takes ,-2.154542545,4.533109075
Philomena ,1.568253287,-5.330168873
The Others ,1.847898278,-4.065145682
River's Edge ,0.290883058,3.318020085
American Gangster ,3.954285655,-5.007547359
Around the World in 80 Days ,-4.090216515,-0.034281532
Half Nelson ,-3.058066941,-1.44712018
Krampus ,-3.229437742,-2.009135018
I Am Sam ,-1.134119576,-0.765784784
Ghost Town ,-3.65376717,-1.183043955
Control ,-2.164126819,-1.402828455
Burnt ,-3.630402285,-1.473165113
A Better Life ,-3.711108519,1.498318429
Young Sherlock Holmes ,0.043638241,3.287873419
Bad Boys II ,-2.391050207,-0.700327606
G-Force ,-4.464878729,0.841765372
Aladdin ,1.297778035,-1.443592108
Four Christmases ,-4.240215289,0.32877317
Quinceañera ,-3.164874234,2.613250847
Star Trek IV: The Voyage Home ,10.85961882,1.21927695
10 Things I Hate About You ,-1.880434722,-0.972961758
The Adventurer: The Curse of the Midas Box ,-1.403842494,4.871299294
My Super Ex-Girlfriend ,-4.266537079,1.900980902
Out Cold ,-2.453191307,3.91163418
Oculus ,0.115243569,-4.653075031
Robin Hood ,2.443012338,-5.628511153
Die Another Day ,0.015494878,-4.476421294
Exiled ,-3.069663419,1.645913103
Hardball ,-3.429884358,2.62618434
The Muse ,-3.256767574,3.377325899
Bride of Chucky ,-3.608509557,3.167105267
Beavis and Butt-Head Do America ,-2.234521842,2.528846057
The Ladykillers ,-3.437823806,-1.251221791
Sabotage ,-3.194892671,-1.930975578
The Canyons ,1.624389655,3.479739359
Contact ,0.16637151,-1.929155622
The Emperor's Club ,-2.978058937,2.216164294
The Astronaut's Wife ,-3.741138615,2.896834313
Layer Cake ,-1.902491861,-0.526709185
My Sister's Keeper ,-2.722919778,-1.108821898
Don't Say a Word ,-3.776874775,1.44931842
Nim's Island ,-4.250209462,1.096043857
Charlie's Angels ,-3.669270963,-1.269908262
Poetic Justice ,-0.575465348,4.473000012
Home Run ,-2.500662315,4.322693257
Into the Blue ,-4.127499635,1.709518607
Finding Nemo ,10.22730731,-5.929155195
Tadpole ,-3.228826098,3.288036522
The Untouchables ,1.35152227,-0.172034394
Ready to Rumble ,-2.220134532,4.502927706
Inside Man ,0.809489648,-3.882481778
The Time Machine ,-4.061866593,0.738051351
Mad Max Beyond Thunderdome ,-1.567183721,2.291189525
Rumble in the Bronx ,-2.138865208,3.176730287
28 Days ,-3.883176573,1.987087137
Fireproof ,-3.216016753,2.553768586
Hotel Rwanda ,0.691545206,-2.703787125
Bella ,-2.790192781,2.216372149
Nanny McPhee ,-3.910395593,0.731616131
Head of State ,-2.36878161,4.437094633
From Dusk Till Dawn ,-1.114733871,-1.368963521
The Prophecy ,-2.139452027,3.167694914
Tangled ,4.320261986,-5.860039304
In Her Line of Fire ,2.165227678,5.708101082
Resident Evil: Afterlife ,-2.070309822,-3.311224058
My Name Is Bruce ,-3.813100304,2.635135872
The Doors ,-0.55064819,1.68145638
Primary Colors ,-2.790525076,1.345520197
DragonHeart ,-2.340521104,2.83629302
The Legend of Zorro ,-4.069124949,0.78185124
The Howling ,-1.652966503,1.913481632
Cape Fear ,15.51992166,1.117895189
Vertical Limit ,-3.900850664,0.891367936
The Manchurian Candidate ,-2.663201082,-1.968723168
The 6th Day ,-3.94420477,0.152003215
A View to a Kill ,-1.602283864,2.136302223
Dragonfly ,-3.878423113,1.884358923
Jack and Jill ,-5.554425269,-1.764192801
DOA: Dead or Alive ,-1.571041822,4.161962714
G.I. Jane ,-3.567991991,2.43168055
The Fan ,6.570558401,2.300355328
Men in Black II ,-1.6430684,-3.44911451
Never Back Down ,-3.914752223,0.281643338
Team America: World Police ,-1.485711384,-2.868588887
Bill & Ted's Excellent Adventure ,-1.490189784,2.332802232
The BFG ,7.158231251,-1.692898079
The Animal ,-2.154329298,4.520638383
2046 ,-2.329076153,-1.1762351
Trees Lounge ,8.962196255,2.159702172
A Very Long Engagement ,-1.776268253,-1.207204865
Ulee's Gold ,-1.604357077,2.850399374
Funny People ,-2.669190698,-2.643385409
Conan the Barbarian ,-0.205600426,0.595849753
Becoming Jane ,-3.405229058,-0.161394884
The Fountain ,0.179341799,-4.403873449
This Christmas ,-3.192445296,3.4905988
Freeheld ,-4.236996946,0.779883549
Alpha and Omega ,-2.990701867,3.958484506
Terminator Genisys ,8.811198677,-7.159595493
Sicario ,7.423077019,-6.888262986
Hit and Run ,-4.157497597,-0.109971133
Teenage Mutant Ninja Turtles ,3.638631458,-5.91735895
The Boondock Saints II: All Saints Day ,-3.943901018,1.544051921
The Love Guru ,1.351336912,3.578125927
Semi-Pro ,-4.236771194,0.413109057
Tremors ,-1.792719651,1.07776345
The Red Violin ,-0.960902546,1.244005161
Strange Wilderness ,-2.072824045,4.550522479
Arbitrage ,-2.264360835,-3.160556536
Cruel Intentions ,-2.606572188,0.37508734
In the Land of Blood and Honey ,0.1776125,1.813484066
Pirates of the Caribbean: The Curse of the Black Pearl ,12.67170141,-5.832269635
Get Carter ,-3.337099886,3.615187731
Club Dread ,-3.183631689,3.567245547
The Legend of Hercules ,0.942458003,2.551775119
The Client ,-1.201271638,2.606909631
I Am Number Four ,-0.736876487,-4.237237305
Entrapment ,-3.720642251,0.534701161
Courage ,-3.349333955,2.887537883
Charlie Bartlett ,-3.787582657,0.344365482
Bring It On ,-4.030798884,0.958468571
Twilight Zone: The Movie ,-0.497681211,3.209293727
Star Trek VI: The Undiscovered Country ,-1.270136835,1.057548522
The Other Boleyn Girl ,-1.407800359,-3.789595415
The Mothman Prophecies ,-3.519602595,-0.363696437
Austin Powers in Goldmember ,-1.970173617,-3.133048332
Simply Irresistible ,-1.577173285,4.815935987
Blade II ,-1.890383428,-2.816227176
Bamboozled ,-2.538092244,2.978259948
Antitrust ,-3.849679852,2.098362823
American Outlaws ,-2.52805964,4.053667919
The Transporter Refueled ,-4.695824255,1.451088196
Fantastic Four ,4.134894599,-3.581067194
The Pink Panther ,-4.209508418,0.383124559
Anacondas: The Hunt for the Blood Orchid ,-1.59812707,4.485871698
What Happens in Vegas ,-4.014608029,-0.274262653
Urbania ,-1.770760001,3.32048365
Mission: Impossible - Ghost Protocol ,8.671205949,-6.860633466
RoboCop ,7.220178374,-6.819709314
The Conspirator ,-3.396058244,-1.462949099
Toy Story ,4.124001868,-3.026054697
Pushing Tin ,-2.692678163,3.498847532
Puss in Boots ,-1.433832841,-3.832183153
Stepmom ,-2.528585199,1.817139729
The Joneses ,-4.167286251,0.869670514
Jay and Silent Bob Strike Back ,-2.46576866,-1.6778396
Monster House ,-3.549721157,-1.380308379
Twilight ,6.606474082,-6.749035712
Hocus Pocus ,-1.426164642,3.091249563
Lonesome Jim ,5.889412975,1.631625879
Loser ,-2.838217582,4.072211938
Domino ,4.991528767,-0.160682553
Critical Care ,-1.365006044,4.464663303
Eye of the Beholder ,-2.903798815,4.05505032
Forrest Gump ,14.19477083,-4.626129961
Derailed ,-3.724929175,0.789797153
Wasabi ,-2.333889206,3.638463822
Scooby-Doo 2: Monsters Unleashed ,-3.51054458,3.463411735
Mr. & Mrs. Smith ,0.781529062,-4.612494903
Love Stinks ,-2.119303879,4.40917429
Hollywood Ending ,5.587449456,1.155836959
Pulse ,-4.101677595,2.835111676
Inception ,48.87733304,-12.42135356
Johnny English Reborn ,-4.102600266,-0.090521948
Fair Game ,-3.413084878,-1.697983133
Beautiful Creatures ,-2.869622632,-2.512756078
Crazy Heart ,-1.508355157,-3.462993937
The Lives of Others ,1.961650168,-3.412870441
Girl 6 ,-0.587658495,5.14866827
Aliens vs. Predator: Requiem ,-2.989284194,-1.673745605
Driven ,-3.28531717,3.709659108
We Were Soldiers ,-1.868070992,-1.313368372
Lions for Lambs ,-2.398784023,-2.993627435
Flicka ,-3.076933058,3.628573511
Hostage ,-3.556989883,-0.686143541
The Relic ,-3.352472643,3.179030915
Pandorum ,-2.896882247,-2.350356532
The Messenger ,-3.26108896,-1.63838365
The Covenant ,-4.121411096,2.226945184
Bottle Rocket ,-2.084085325,2.401620317
Escape from New York ,-0.644660868,0.182603565
Rounders ,-1.539931254,0.130406971
Away We Go ,-3.303491999,-1.756924169
Little Shop of Horrors ,-0.511232727,2.819500835
Someone Like You... ,-3.322600732,2.682488436
The Last Dragon ,-0.000515706,3.114369628
The Tuxedo ,-3.440705788,3.439686203
Creepshow 2 ,-2.128737204,3.70945486
Sweet November ,-3.222208597,1.251214874
88 Minutes ,-4.191963317,0.442690622
Star Trek Into Darkness ,22.76519787,-5.484243913
The Order ,-3.423092214,3.538022782
Analyze This ,6.622619174,-0.014771556
Shorts ,-1.266343208,4.035977959
Coco Before Chanel ,-3.968578496,0.128495427
Meet Joe Black ,-0.405606638,-0.45992964
Doogal ,4.789421433,5.870935781
Ratatouille ,6.447076242,-5.665465726
Drowning Mona ,-3.129842716,3.718890532
The Game ,20.46160379,0.478293911
Moulin Rouge! ,3.463861567,-3.951941722
Harold & Kumar Go to White Castle ,-3.19665899,-0.466105721
The Illusionist ,0.451607047,-3.845445581
Tim and Eric's Billion Dollar Movie ,-2.229506587,4.272145429
American Wedding ,-3.766189834,-0.714359248
Les couloirs du temps: Les visiteurs II ,-0.928585845,4.581256387
Big Momma's House 2 ,-1.537724262,4.567305028
Spanglish ,-3.505304547,0.555304232
The Lost World: Jurassic Park ,11.4166219,-0.816984457
The Count of Monte Cristo ,-0.909773541,-1.059111746
The Chronicles of Narnia: The Voyage of the Dawn Treader ,-2.552921827,-2.906452527
Crossover ,6.429151215,6.196887414
Fury ,7.720423698,-6.817588486
Dredd ,4.497380295,-6.300820836
The In Crowd ,-0.44236099,5.213493528
The Expendables 2 ,8.185882184,-7.067236524
Blue Car ,-2.457669953,3.606842588
Blow ,-0.721015993,-1.590935429
Snow Flower and the Secret Fan ,-3.330265306,3.532481373
Spaceballs ,-1.031811379,1.36824833
The Guru ,-2.497732432,4.355470726
Idle Hands ,-2.774313406,3.560849271
Escape Plan ,-0.402294153,-4.463076315
Death at a Funeral ,-3.206766798,-0.836411808
Zoom ,0.794094669,5.135561206
Ghost World ,-2.045548473,-0.109327609
13 Going on 30 ,-4.038448183,0.827969262
Soul Plane ,-0.217408092,4.956713826
Saw IV ,-3.804615159,-1.067208306
