movie_title,PC_1,PC_2
Interstellar,1.415245556,0.249702667
The Avengers,1.193341459,-0.403001248
Batman Begins,1.058771092,0.466129116
Gone Girl,0.932012283,0.348492569
Inglourious Basterds,0.901829007,0.290670047
Avengers: Age of Ultron,0.89021949,-0.418781811
The Lord of the Rings: The Return of the King,0.789658798,0.037317727
American Sniper,0.746652365,0.183166635
Memento,0.705015972,0.663281752
The Lord of the Rings: The Two Towers,0.664954051,0.043745402
Kill Bill: Vol. 1,0.654728321,0.420366821
Alice in Wonderland,0.637705809,0.066618546
The Hunger Games: Catching Fire,0.625547916,-0.220386581
Gran Torino,0.607629405,0.380144091
Jurassic Park,0.603644108,0.403938356
Super 8,0.59701901,0.154074501
Toy Story 3,0.565463918,-0.144863946
Star Wars: Episode I - The Phantom Menace,0.555194922,-0.127518002
300,0.548823341,-0.129668573
Her,0.533489451,-0.220462585
WALL·E,0.520053445,-0.068515257
Goodfellas,0.51139273,0.636320372
King Kong,0.50922429,-0.118840119
The Hunger Games: Mockingjay - Part 1,0.494163993,-0.27548266
District 9,0.48115575,-0.102030488
The Adventures of Tintin,0.477751769,0.218229838
The King's Speech,0.477679325,-0.145236558
Oz the Great and Powerful,0.477026737,-0.339854947
Cloud Atlas,0.473881273,-0.179860993
Spider-Man,0.472339104,-0.084370096
Oblivion,0.466006057,-0.237148052
Sin City,0.454093865,-0.011787849
Captain Phillips,0.442878733,-0.152517472
War Horse,0.44020475,0.242783561
Nightcrawler,0.428221716,-0.187911415
The Lego Movie,0.4261011,-0.188713027
Sherlock Holmes,0.408625253,-0.125125544
The Help,0.399076428,-0.098587411
Kick-Ass,0.392449423,-0.10200204
The Green Mile,0.385650671,0.12417639
Pan's Labyrinth,0.38064567,-0.054476719
Elysium,0.372457068,-0.220410751
Harry Potter and the Order of the Phoenix,0.370805807,-0.079011133
Moonrise Kingdom,0.367486361,-0.17914577
Maleficent,0.365885813,-0.214232103
Invictus,0.365673736,0.369540341
Donnie Darko,0.365630722,0.039859624
Unbroken,0.345415763,0.178555598
Evil Dead,0.341523699,-0.27539246
Despicable Me 2,0.337834804,-0.134435422
The Theory of Everything,0.336348299,-0.145976439
Star Wars: Episode VI - Return of the Jedi,0.334915066,0.15443976
Taken,0.329745437,-0.049614938
The Lone Ranger,0.321900998,-0.203810266
Quantum of Solace,0.321486126,-0.150446038
Frankenweenie,0.319040884,0.204090194
Children of Men,0.316586115,-0.054306652
The Godfather: Part II,0.31250768,0.304826694
Requiem for a Dream,0.310519994,0.072841574
RoboCop,0.308154108,-0.261669137
John Carter,0.305492903,-0.192644678
Despicable Me,0.301394552,-0.084849984
Unstoppable,0.301077866,0.200995168
The Bourne Legacy,0.300548101,-0.187317706
Warrior,0.299446216,-0.040460631
Match Point,0.297610822,0.289352561
Amélie,0.297434718,0.065286215
The Twilight Saga: Breaking Dawn - Part 2,0.296680073,-0.287234891
Crash,0.296522243,0.007594258
The Place Beyond the Pines,0.279861371,-0.137173409
Into the Woods,0.273678845,-0.248919153
Jersey Boys,0.272776899,0.348455369
The Terminal,0.272613692,0.415913013
American Gangster,0.271974719,-0.015735643
The Wrestler,0.26577825,-0.07257257
Jackie Brown,0.263019498,0.532197388
The World's End,0.261395675,-0.1528977
The Pianist,0.256717553,0.160790361
The Twilight Saga: New Moon,0.247827277,-0.295574888
The Woman in Black,0.238789309,-0.226902782
Paranormal Activity,0.237594069,-0.182258018
Moulin Rouge!,0.234505405,0.059072259
Green Lantern,0.234059246,-0.243079658
Collateral,0.233734869,-0.028329378
Revolutionary Road,0.229765468,-0.11365031
Eyes Wide Shut,0.226964309,0.002897073
Little Miss Sunshine,0.224343706,-0.007175737
The Taking of Pelham 1 2 3,0.222753814,0.223012252
The Twilight Saga: Eclipse,0.221957229,-0.279473306
Toy Story,0.220345967,0.116986702
