movie_title,MDS_1,MDS_2
Kingpin,-0.761676449,1.247278485
I Know What You Did Last Summer,-1.128527598,0.285508046
Wicker Park,-0.973010026,1.009243487
Shakespeare in Love,-0.164759659,1.058361439
Fatal Attraction,0.341713693,1.118423391
Scary Movie 5,0.268476479,-3.437600813
The Santa Clause,-0.407182608,0.866446334
Rugrats in Paris: The Movie,-1.17767653,0.557359934
Megiddo: The Omega Code 2,-1.083468195,-1.539068108
Kick-Ass,1.379897261,-0.246731217
A Nightmare on Elm Street,1.22939656,0.85307525
The Whole Nine Yards,-0.913948068,0.864464953
One Night with the King,-1.370221273,0.707454817
You Again,-1.445205139,-0.012054317
Hide and Seek,-1.062632475,0.207106167
RocknRolla,-0.606689596,0.686671555
The Quick and the Dead,-0.960006333,1.034830722
The Fast and the Furious,-0.046021827,0.365313171
Teenage Mutant Ninja Turtles III,-1.443756795,0.010290965
Bad Grandpa,-0.978824093,0.373247791
88 Minutes,-1.276521263,0.272039826
Connie and Carla,-1.324707959,0.699591548
Triple 9,-1.172097897,0.047118054
Bride of Chucky,-1.296868523,0.201251462
Monte Carlo,-1.463086315,0.133856191
Hoodwinked!,-1.005020324,0.543413292
This Is the End,1.631143708,-2.10770326
House on Haunted Hill,-1.024838245,0.239448994
Holes,-0.808736741,1.060049651
Urban Legends: Final Cut,-1.093850788,-1.274882638
How to Deal,-1.486760814,0.370574676
Predator 2,-0.73111376,0.997603451
Double Take,-1.547538773,-0.037071048
The Bridges of Madison County,6.528501232,-2.099071586
Honey,-1.440290335,0.034920178
Dylan Dog: Dead of Night,-1.33500195,-0.429096554
The Princess Bride,1.482988434,1.023079736
Buffalo Soldiers,-0.958076818,0.968748067
The Homesman,-1.090175144,0.371543614
Three to Tango,-1.247447346,0.722412353
Soul Surfer,-1.124294787,0.813209898
Ramona and Beezus,-1.295758119,0.716721029
The Woman in Black,0.902902765,-1.150474247
Lucky Number Slevin,-0.277967534,0.953861554
The Thing,2.525040644,0.651558913
Big,0.405090792,1.313285676
Keeping the Faith,-0.989128733,0.764487048
About a Boy,-0.603634021,0.962179362
3 Ninjas Kick Back,-1.359444642,-0.946543987
Warriors of Virtue,-1.446383364,-0.673976839
Last Vegas,-0.975384945,0.233824547
Goodfellas,8.280778967,-2.665812137
The End of the Affair,-0.711725821,1.182283362
Dances with Wolves,3.197595526,0.385914314
Star Wars: Episode VI - Return of the Jedi,4.913828483,-0.183156142
The Bridge of San Luis Rey,-1.46985038,-0.753134047
House of Sand and Fog,-0.47683948,1.128068199
The Longest Ride,-1.154022903,0.735873546
Bad Teacher,-0.37125048,-0.570248307
Valiant,-1.343167459,0.111198105
Diary of a Wimpy Kid: Dog Days,-1.370272063,0.433584096
My Soul to Take,-1.180465834,-0.784949606
Mrs. Doubtfire,0.954320884,0.872669053
Marvin's Room,2.362516586,-3.244033438
Big Trouble in Little China,0.390640911,1.135687902
The Naked Gun 2½: The Smell of Fear,-0.029850165,1.220282883
Midnight Special,-0.804674241,0.17503414
Chill Factor,-1.474806303,0.114608445
Anonymous,-0.533202145,0.280091571
L.A. Confidential,0.85748594,1.144331108
Furry Vengeance,-0.69462649,-2.135011498
Jimmy Neutron: Boy Genius,-1.188023059,0.499140284
Crazy in Alabama,-1.232488068,0.951141364
The Wedding Planner,-1.411273255,-0.015951218
Southpaw,-0.265409038,0.380977259
A Simple Plan,-0.409877877,1.242656251
The Kite Runner,-0.557276675,0.998592804
Manderlay,-0.525926817,1.229656942
City of Ghosts,-1.390286448,0.660468414
Jonah: A VeggieTales Movie,-1.099891085,0.89784785
The Notebook,0.645759434,0.731689173
Safe Haven,-1.022207903,0.467339045
The Constant Gardener,-0.287273848,0.915224088
The Conjuring,2.285804354,-1.72970055
Punch-Drunk Love,0.045699935,0.588849207
Money Talks,-1.29902071,0.859553672
Baby Mama,-1.28701535,0.276400376
Step Up 3D,-1.25800535,0.386967448
The Imaginarium of Doctor Parnassus,-0.389311158,0.239693224
Ride with the Devil,-0.65265569,1.100073206
Without Limits,-0.537583978,1.385268448
Because of Winn-Dixie,-1.266524453,0.642442587
The Hunt for Red October,0.48215251,1.314642023
Leap Year,-1.256651875,0.477879599
Agent Cody Banks,-1.455212723,-0.327383645
Disturbing Behavior,-1.358696196,0.276134696
Predator,1.162664094,1.055327034
Groundhog Day,4.224368006,-0.390796621
Reindeer Games,-1.245163559,0.416719698
The World's End,0.610520288,-0.566677926
Remember Me,-0.860733841,0.805159742
Selma,-0.002049124,0.175071664
Cool Runnings,-0.48076265,1.300060009
Delivery Man,-0.961133644,-0.081318726
