movie_title,MDS_1,MDS_2
Kingpin,4.331133138,1.747337527
I Know What You Did Last Summer,3.031192394,1.77645899
Wicker Park,5.09519826,0.621882285
Shakespeare in Love,2.582698716,-1.407343114
Fatal Attraction,0.445115762,0.634501851
Scary Movie 5,-4.856638796,3.517021411
The Santa Clause,2.122530888,1.86104328
Rugrats in Paris: The Movie,3.004721639,3.243713684
Megiddo: The Omega Code 2,-1.745802219,5.266586519
Kick-Ass,-5.274316345,-6.615001307
A Nightmare on Elm Street,-0.840913983,-2.162881781
The Whole Nine Yards,4.964543297,0.51214329
One Night with the King,3.903428441,2.627725631
You Again,3.453716053,2.56753235
Hide and Seek,5.064141052,0.184613528
RocknRolla,1.961237491,-2.320905257
The Quick and the Dead,4.128884923,2.567803083
The Fast and the Furious,-0.73764092,-2.386093939
Teenage Mutant Ninja Turtles III,0.664036883,4.682412353
Bad Grandpa,3.90195049,-0.898494746
88 Minutes,5.434031959,1.064965
Connie and Carla,4.91111373,2.552127107
Triple 9,3.090722251,-1.304546633
Bride of Chucky,3.034056054,3.723511422
Monte Carlo,4.354272521,2.631099664
Hoodwinked!,4.945600375,0.690795507
This Is the End,-10.04813389,-5.771787129
House on Haunted Hill,3.664640206,2.142273189
Holes,4.859083475,0.009753411
Urban Legends: Final Cut,-0.894621938,4.699876783
How to Deal,3.768675961,4.00047552
Predator 2,3.392343226,1.92773371
Double Take,2.344941117,4.635618617
The Bridges of Madison County,-15.14867107,-0.264530313
Honey,3.565978303,4.057753614
Dylan Dog: Dead of Night,2.26078841,3.567598009
The Princess Bride,-1.838675428,-2.362096115
Buffalo Soldiers,5.115561803,1.218378625
The Homesman,4.107179731,-1.374270445
Three to Tango,4.515397821,3.044316213
Soul Surfer,4.55366749,-0.118366761
Ramona and Beezus,4.74249151,1.486708678
The Woman in Black,-2.987045409,-5.557749538
Lucky Number Slevin,1.593980589,-3.168914508
The Thing,-3.991206693,-3.478529241
Big,0.239629377,-0.148110676
Keeping the Faith,4.984981263,0.634445791
About a Boy,4.857312833,-0.894728548
3 Ninjas Kick Back,-1.77921379,5.315934205
Warriors of Virtue,-0.137454026,5.145985944
Last Vegas,3.484107136,-2.320001969
Goodfellas,-21.49803747,-3.048745334
The End of the Affair,4.458584726,1.055275885
Dances with Wolves,-8.584762995,-1.669077447
Star Wars: Episode VI - Return of the Jedi,-10.69982882,-4.333324932
The Bridge of San Luis Rey,1.148018382,4.526295823
House of Sand and Fog,3.572796981,-1.646525462
The Longest Ride,3.266878411,-0.748007442
